SideA

Time,Current Cycle,FCH.Thermal.SideA.Zone1.TopRTDRawTemperature[C],FCH.Thermal.SideA.Zone2.TopRTDRawTemperature[C],FCH.Thermal.SideA.Zone3.TopRTDRawTemperature[C],FCH.Thermal.SideA.Zone1.TopRTDCalibratedTemperature[C],FCH.Thermal.SideA.Zone2.TopRTDCalibratedTemperature[C],FCH.Thermal.SideA.Zone3.TopRTDCalibratedTemperature[C],FlowCellABottomBackTemperature[C],FlowCellABottomMidTemperature[C],FlowCellABottomFrontTemperature[C],FlowCellATargetTemperature[C],ImagingCameraCcd1Temperature[C],ImagingCameraCcd2Temperature[C],ImagingCameraPcbTemperature[C],FtmCameraTemperature[C],FtmLaserTemperature[C],FtmChassisTemperature[C],LGMChassisTemperature[C],LGMGreenLaserHeadTemperature[C],LGMGreenLaserPsuTemperature[C],LGMRedLaserHeadTemperature[C],LGMRedLaserPsuTemperature[C],OpticalImmersedCompressorOutletTemperature[C],OpticalImmersedReservoirTemperature[C],OpticalLoopPumpCurrent[mA],OpticalLoopCompressorCurrent[Amps],OpticalCompressorFanAirInTemperature[C],OpticalLoopCompressorFanSpeed[rpm],OpticsAirLeftInletFanSpeed[rpm],OpticsAirRightInletFanSpeed[rpm],FlowCellAReagentChillerChamberFrontTemperature[C],FlowCellAReagentChillerChamberRearTemperature[C],FlowCellAReagentChillerTecColdSideTemperature[C],EboxEnclosureFanAirInTemperature[C],EboxEnclosureInletFanSpeed[rpm],FluidicsEnclosureFanAirInTemperature[C],FluidicsEnclosureInletFanSpeed[rpm],FCHLoopPumpCurrent[mA],FCHLoopFan1Speed[rpm],FCHLoopFan2Speed[rpm],FCHLoopFan3Speed[rpm],FCHImmersedReservoirTemperature[C],FCHRadiatorFanInTemperature[C],RCALoopPumpCurrent[mA],RCALoopFan1Speed[rpm],RCALoopFan2Speed[rpm],RCALoopFan3Speed[rpm],FlowCellARcaCoolantLoopImmersedInletTemperature[C],FlowCellBRcaCoolantLoopImmersedInletTemperature[C],FlowCellARcaCoolantLoopImmersedOutletTemperature[C],FlowCellBRcaCoolantLoopImmersedOutletTemperature[C],RCAImmersedReservoirTemperature[C],RCARadiatorFanInTemperature[C],LeftSmaFanSpeed[rpm],RightSmaFanSpeed[rpm]
2024-06-19_12-05-16,0,25.238,25.302,25.112,25.005,24.996,24.998,27.55,27.33,27.77,25,26.8,22.2,33.5,25.3,22.64,22.1,21.39,20.73,33.03,20.53,32.24,21.27,22.1,1498,2.14,22.89,4551,5461,5016,12.2,11.42,5.34,29.36,3034,26.95,2386,1012,1966,1998,1950,28.06,24.35,718,3234,3234,3191,35.29,34.91,37.98,38.21,38.14,24.76,7680,7928
2024-06-19_12-06-16,0,25.207,25.302,25.112,25.005,24.996,24.998,27.71,27.43,27.87,25,26.7,22.2,33.5,25.3,22.64,22.1,21.39,20.61,33,20.43,32.24,21.18,22.04,1494,1.54,22.57,4468,5342,5016,11.89,11.06,5.05,28.73,2858,27.05,2386,1010,1966,1998,1935,28.22,24.41,714,3234,3234,3234,35.13,34.94,38.05,38.14,38.14,24.57,5585,5715
2024-06-19_12-07-16,0,38.777,38.777,38.777,38.01,38,38.002,27.81,27.71,27.96,38,26.7,22.2,33.5,25.24,22.57,22.1,21.35,20.51,32.98,20.35,32.23,21.12,21.94,1492,2.01,22.42,4468,5342,5120,11.54,10.82,4.76,28.06,2761,26.95,2433,1000,1966,1998,1966,28.15,24.13,720,3191,3234,3234,35.07,34.75,37.89,38.02,38.05,24.35,7680,7928
2024-06-19_12-08-16,0,38.809,38.809,38.777,37.979,38,38.002,28.03,27.9,28.15,38,26.7,22.2,33.5,25.21,22.57,22.07,21.39,20.59,32.9,20.46,32.2,22.1,22.07,1496,0.09,22.26,4551,5342,5120,11.18,10.51,4.47,28.54,2824,27.05,2409,1042,1966,1998,1966,28.38,24.29,718,3234,3234,3191,35,34.72,37.67,37.92,37.92,24.51,7680,7928
2024-06-19_12-09-16,0,38.809,38.809,38.777,37.979,38,38.002,28.15,28.03,28.25,38,27,22.4,34,25.3,22.61,22.1,21.53,20.84,32.74,20.74,32.11,22.57,22.61,1408,0.06,22.51,4468,5342,5120,10.86,10.19,4.14,28.5,2858,26.89,2433,1006,1950,2014,1950,28.57,24.19,716,3191,3191,3191,34.94,34.62,37.67,37.86,37.86,24.51,7447,7928
2024-06-19_12-10-16,0,38.777,38.809,38.777,38.01,38,38.002,28.22,28.12,28.31,38,27.1,22.7,34,25.49,22.73,22.16,21.6,20.94,32.7,21.16,35.91,21.59,22.51,1430,1.94,23.02,4468,5461,5016,9.91,9.35,3.38,28.85,2926,27.27,2482,1044,2031,2100,2014,28.85,24.51,710,3191,3234,3234,35.07,34.75,37.57,37.95,37.86,24.67,7680,7680
2024-06-19_12-12-17,0,38.777,38.809,38.745,38.01,38,37.972,28.41,28.35,28.6,38,27.1,22.6,34,25.46,22.83,22.19,21.6,21.88,36.63,21.25,36.06,21.59,22.48,1468,1.82,23.08,4468,5342,5016,9.87,9.31,3.35,29.04,2926,27.14,2458,1038,2048,2082,2048,28.88,24.57,716,3191,3191,3191,35.04,34.65,37.67,37.89,37.86,24.54,7680,7680
2024-06-19_12-13-17,0,38.809,38.809,38.777,38.04,38,38.002,28.54,28.44,28.69,38,27.2,22.7,34,25.56,22.8,22.19,21.67,22.93,37.95,22.74,38.18,22.07,22.96,1424,1.95,22.92,4551,5342,5016,9.15,8.63,2.75,28.98,2997,27.46,2482,1000,2048,2082,2048,29.11,24.48,722,3191,3234,3234,35.1,34.81,37.73,38.02,37.89,24.45,7680,7680
2024-06-19_12-14-55,0,38.809,38.809,38.809,37.979,38,38.002,28.63,28.57,28.79,38,27.3,22.9,34,25.65,22.92,22.26,21.85,23.91,39.36,23.32,39.12,22.38,23.37,1382,1.98,23.11,4551,5342,5016,8.71,8.23,2.44,29.65,3072,27.58,2560,1034,2031,2100,2048,29.23,24.64,712,3191,3234,3234,35.13,34.85,37.83,38.11,37.95,24.67,3110,3110
2024-06-19_12-16-28,0,38.809,38.777,38.777,38.01,38.031,38.002,28.73,28.66,28.85,38,27.6,23,34,25.84,23.08,22.35,22.06,24,39.51,23.36,39.18,22.38,23.34,1474,1.85,22.89,4468,5342,5016,8.67,8.19,2.42,29.55,3111,27.65,2560,1002,2118,2156,2118,29.17,24.7,712,3234,3191,3191,35.16,34.91,37.86,38.02,38.02,24.7,3150,3150
