SideB

Time,Current Cycle,FCH.Thermal.SideB.Zone1.TopRTDRawTemperature[C],FCH.Thermal.SideB.Zone2.TopRTDRawTemperature[C],FCH.Thermal.SideB.Zone3.TopRTDRawTemperature[C],FCH.Thermal.SideB.Zone1.TopRTDCalibratedTemperature[C],FCH.Thermal.SideB.Zone2.TopRTDCalibratedTemperature[C],FCH.Thermal.SideB.Zone3.TopRTDCalibratedTemperature[C],FlowCellBBottomBackTemperature[C],FlowCellBBottomMidTemperature[C],FlowCellBBottomFrontTemperature[C],FlowCellBTargetTemperature[C],ImagingCameraCcd1Temperature[C],ImagingCameraCcd2Temperature[C],ImagingCameraPcbTemperature[C],FtmCameraTemperature[C],FtmLaserTemperature[C],FtmChassisTemperature[C],LGMChassisTemperature[C],LGMGreenLaserHeadTemperature[C],LGMGreenLaserPsuTemperature[C],LGMRedLaserHeadTemperature[C],LGMRedLaserPsuTemperature[C],OpticalImmersedCompressorOutletTemperature[C],OpticalImmersedReservoirTemperature[C],OpticalLoopPumpCurrent[mA],OpticalLoopCompressorCurrent[Amps],OpticalCompressorFanAirInTemperature[C],OpticalLoopCompressorFanSpeed[rpm],OpticsAirLeftInletFanSpeed[rpm],OpticsAirRightInletFanSpeed[rpm],FlowCellBReagentChillerChamberFrontTemperature[C],FlowCellBReagentChillerChamberRearTemperature[C],FlowCellBReagentChillerTecColdSideTemperature[C],EboxEnclosureFanAirInTemperature[C],EboxEnclosureInletFanSpeed[rpm],FluidicsEnclosureFanAirInTemperature[C],FluidicsEnclosureInletFanSpeed[rpm],FCHLoopPumpCurrent[mA],FCHLoopFan1Speed[rpm],FCHLoopFan2Speed[rpm],FCHLoopFan3Speed[rpm],FCHImmersedReservoirTemperature[C],FCHRadiatorFanInTemperature[C],RCALoopPumpCurrent[mA],RCALoopFan1Speed[rpm],RCALoopFan2Speed[rpm],RCALoopFan3Speed[rpm],FlowCellARcaCoolantLoopImmersedInletTemperature[C],FlowCellBRcaCoolantLoopImmersedInletTemperature[C],FlowCellARcaCoolantLoopImmersedOutletTemperature[C],FlowCellBRcaCoolantLoopImmersedOutletTemperature[C],RCAImmersedReservoirTemperature[C],RCARadiatorFanInTemperature[C],LeftSmaFanSpeed[rpm],RightSmaFanSpeed[rpm]
2024-01-19_12-06-08,0,25.016,25.016,25.302,24.978,24.978,25.011,22.96,22.96,23.02,25,26.5,22.1,33.5,24.86,22.23,21.18,21.11,20.77,28.12,20.65,27.4,21.43,22.48,1552,1.26,18.01,4551,5120,5120,13.38,11.97,7.06,25.24,2254,23.11,1982,1014,1794,1848,1780,23.53,20.29,720,3510,3562,3510,29.71,29.49,32.78,32.88,32.88,20.77,7680,7928
2024-01-19_12-07-08,0,25.016,25.016,25.334,25.039,25.008,25.011,23.11,23.11,23.15,25,26.4,21.9,33,24.86,22.26,21.21,21,20.51,28.19,20.38,27.44,21.08,22.13,1344,1.54,17.95,4468,5120,5016,12.91,11.69,6.71,26.13,2409,23.27,1950,1052,1794,1848,1768,23.72,20.55,726,3510,3510,3510,29.87,29.58,32.82,33.01,32.88,20.77,3840,3780
2024-01-19_12-08-08,0,25.08,24.985,25.302,24.978,24.978,24.981,23.24,23.21,23.27,25,26.3,21.9,33,24.76,22.19,21.24,21,20.44,28.21,20.34,27.48,21.91,21.94,1544,0.09,18.14,4551,5016,5016,12.4,11.46,6.38,25.43,2254,23.3,1966,1018,1780,1848,1780,23.94,20.51,718,3510,3510,3510,29.74,29.52,32.85,32.94,33.01,20.29,7680,7680
2024-01-19_12-09-08,0,25.08,24.985,25.334,25.008,25.008,24.951,23.46,23.4,23.46,25,26.4,22,33,24.76,22.16,21.21,21.07,20.55,28.12,20.46,27.47,22.19,22.32,1534,0.06,17.72,4551,5120,5120,11.97,11.06,5.98,25.27,2296,23.27,1966,1018,1794,1834,1780,24.16,20.2,722,3510,3562,3510,29.65,29.33,32.69,32.85,32.94,19.85,7680,7928
2024-01-19_12-10-08,0,25.016,25.016,25.365,25.039,25.008,25.041,23.65,23.59,23.62,25,26.4,22,33.5,24.8,22.19,21.24,21.04,20.47,28.1,20.38,27.47,21.31,22.26,1502,1.54,17.91,4551,5120,5016,11.54,10.67,5.58,25.3,2296,23.43,2014,1014,1780,1848,1780,24.38,20.26,728,3562,3510,3510,29.55,29.2,32.47,32.72,32.72,19.69,7680,7928
2024-01-19_12-11-08,0,25.048,25.048,25.302,25.008,25.008,24.981,23.81,23.78,23.81,25,26.3,21.9,33,24.73,22.19,21.18,20.93,20.29,28.19,21.01,31.44,21.53,22.51,1314,1.06,17.98,4468,5120,5120,10.27,9.51,4.52,25.56,2276,23.59,2048,1050,1780,1862,1768,24.83,20.17,720,3562,3510,3510,29.23,28.95,32.21,32.37,32.47,19.72,7928,7928
2024-01-19_12-13-15,0,25.048,24.985,25.334,24.978,24.978,24.981,24.06,24.03,24.1,25,26.5,22.1,33.5,24.8,22.19,21.18,21.11,21.67,32.08,21.08,31.59,21.46,22.64,1600,1.34,18.17,4551,5120,5016,10.23,9.47,4.49,25.56,2254,23.56,2065,1022,1780,1848,1780,24.92,20.32,722,3510,3510,3510,29.2,28.95,32.18,32.28,32.34,19.79,7680,7680
2024-01-19_12-14-15,0,25.016,25.016,25.334,24.978,24.978,24.981,24.22,24.16,24.19,25,26.6,22.1,33.5,24.86,22.26,21.24,21.11,22.5,33.5,22.16,33.81,21.4,22.32,1308,1.56,17.98,4551,5120,5120,9.23,8.55,3.7,26.06,2433,23.81,2065,1046,1794,1834,1780,25.21,20.51,718,3562,3510,3510,29.3,28.95,31.26,32.4,32.37,20.29,7928,7928
2024-01-19_12-15-55,0,25.048,25.016,25.365,25.008,25.008,24.981,24.41,24.38,24.41,25,26.5,22.1,33.5,24.86,22.29,21.24,21.14,23.12,35.06,22.51,34.81,21.43,22.48,1526,1.5,17.38,4468,5120,5120,8.67,8.03,3.23,25.9,2363,23.88,2048,1030,1794,1862,1768,25.37,20.74,720,3510,3461,3510,28.88,28.54,30.69,32.06,31.58,20.29,7928,7928
2024-01-19_12-17-28,0,25.08,25.016,25.302,25.008,25.008,24.981,24.64,24.54,24.6,25,26.6,22.1,33,24.86,22.29,21.27,21.21,23.18,35.21,22.53,34.88,21.5,22.45,1400,1.61,17.47,4551,5120,5120,8.63,7.99,3.18,25.97,2363,23.97,2065,1004,1794,1848,1780,25.43,20.74,720,3510,3562,3510,28.85,28.54,30.66,32.09,31.58,20.55,7928,7680
