SampleNumber	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90
SampleName	None	CT304_1434281_TP53_CAPPSEQ	RMGEM162_71300511_TP53_CAPPSEQ	RMGEM18_1738932_TP53_CAPPSEQ	RM576_1328892_TP53_CAPPSEQ	RMPTV275_71018943_CD19_CAPPSEQ	RMPTV275_75749577_risortato_CD19_CAPPSEQ	RMPTV275_71018943_CD3_CAPPSEQ	RMPTV275_75749577_risortato_CD3_CAPPSEQ	UD76_1575916_CD19_CAPPSEQ	TS399_73474005_CD19_CAPPSEQ	RMGEM336_74329796_CD19_CAPPSEQ	CRO103_1508198_rifatto_CD19_CAPPSEQ	RMPTV238_1693390_rifatto_CD19_CAPPSEQ	RMPTV238_75720908_rifatto_CD19_CAPPSEQ	RMGEM353_74554258_CD19_CAPPSEQ	CT225_737450_CD19_CAPPSEQ	CT421_1741622_CD19_CAPPSEQ	RM682_1180273_CD19_CAPPSEQ	RMSA98_74333761_CD19_CAPPSEQ	CT515_71596181_CD19_CAPPSEQ	CT274_754027_CD19_CAPPSEQ	CT366_1548706_CD19_CAPPSEQ	RIO72_1215551_CD19_CAPPSEQ	RM222_17896_CD19_CAPPSEQ	UD76_1575916_CD3_CAPPSEQ	TS399_73474005_CD3_CAPPSEQ	RMGEM336_74329796_CD3_CAPPSEQ	CRO103_1508198_rifatto_CD3_CAPPSEQ	RMPTV238_1693390_rifatto_CD3_CAPPSEQ	RMPTV238_75720908_rifatto_CD3_CAPPSEQ	RMGEM353_74554258_CD3_CAPPSEQ	CT225_737450_CD3_CAPPSEQ	CT421_1741622_CD3_CAPPSEQ	RM682_1180273_CD3_CAPPSEQ	RMSA98_74333761_CD3_CAPPSEQ	CT515_71596181_CD3_CAPPSEQ	CT274_754027_CD3_CAPPSEQ	CT366_1548706_CD3_CAPPSEQ	RIO72_1215551_CD3_CAPPSEQ	RM222_17896_CD3_CAPPSEQ	CT385_76313131_CD19_CAPPSEQ	RMPTV599_74204575_CD19_CAPPSEQ	CT385_73682553_CD19_CAPPSEQ	CT86_801852_CD19_CAPPSEQ	CT56_982721_CD19_CAPPSEQ	CT56_72349293_CD19_CAPPSEQ	RMPTV153_1638020_CD19_CAPPSEQ	CT404_1656880_CD19_CAPPSEQ	RMPTV105_742756_CD19_CAPPSEQ	CT385_76313131_CD3_CAPPSEQ	RMPTV599_74204575_CD3_CAPPSEQ	CT385_73682553_CD3_CAPPSEQ	CT86_801852_CD3_CAPPSEQ	CT56_982721_CD3_CAPPSEQ	CT56_72349293_CD3_CAPPSEQ	RMPTV153_1638020_CD3_CAPPSEQ	CT404_1656880_CD3_CAPPSEQ	RMPTV105_742756_CD3_CAPPSEQ	RMPTV441_71641950_TP53_CAPPSEQ	CT265_1308463_TP53_CAPPSEQ	RMPTV354_1725423_TP53_CAPPSEQ	RMPTV472_71854414_TP53_CAPPSEQ	TS242_72258495_TP53_CAPPSEQ	UD185_71424472_TP53_CAPPSEQ	RM731_1731335_TP53_CAPPSEQ	CT297_1716527_TP53_CAPPSEQ	RMGEM113_1728098_TP53_CAPPSEQ	RM499_1781010_TP53_CAPPSEQ	RMPTV162_71070456_TP53_CAPPSEQ	RMPTV13_1754919_TP53_CAPPSEQ	RMGEM15_70900705_TP53_CAPPSEQ	RM442_1444318_TP53_CAPPSEQ	RM678_1798162_TP53_CAPPSEQ	UD162_1740075_TP53_CAPPSEQ	CT398_1649277_TP53_CAPPSEQ	CT92_72077680_TP53_CAPPSEQ	RMGEM128_70992690_TP53_CAPPSEQ	RMGEM36_1783087_TP53_CAPPSEQ	RM113_1296957_TP53_CAPPSEQ	RMSA41_72195363_TP53_CAPPSEQ	RMPTV324_1711993_TP53_CAPPSEQ	RMSA25_71794251_TP53_CAPPSEQ	TS134_71741925_TP53_CAPPSEQ	UD13_1434331_TP53_CAPPSEQ	CT151_71530455_TP53_CAPPSEQ	CT447_1789524_TP53_CAPPSEQ	RMPTV133_71453788_TP53_CAPPSEQ	UD22_1297016_TP53_CAPPSEQ	TS235_1569503_TP53_CAPPSEQ	TS31_1776222_TP53_CAPPSEQ
L2T1101	18.5644	0.7640562	0.9605873	0.7852321	0.8867097	0.8025416	0.8774304	0.9349502	1.032978	0.8574442	0.8532804	0.8525666	1.018524	1.050763	1.433059	1.290479	1.118336	1.046243	1.152776	1.022033	1.124403	1.073248	1.234981	1.306361	1.321707	0.9917563	1.125711	1.016025	0.8339485	0.8272269	0.870114	0.8883752	0.837458	0.8237769	0.8234795	1.045707	1.00746	0.854708	1.119942	1.329559	1.169015	1.133742	0.9902692	1.011029	1.046659	1.041543	1.2006	0.9985373	1.046778	0.832164	0.9432778	1.018226	1.00508	0.9646321	0.8883752	1.313499	1.14201	0.8114045	1.030004	0.6134458	0.6013114	0.8388261	0.7722054	0.8052183	0.709689	0.5983967	0.7908235	0.5197605	0.6236174	0.6415217	0.7134959	0.7275338	0.8001623	0.5467657	0.5945303	0.7368726	0.6442579	0.7752985	0.7687554	0.7985562	0.6524071	0.9103244	0.9772425	0.6449122	0.7324709	0.6220114	0.7229536	0.6652553	0.7883252	0.5887605	0.7271174
L2T1102	18.7052	0.7837211	0.9689621	0.781826	0.8797763	0.7935516	0.8801909	0.9325416	1.022083	0.8649713	0.8392105	0.8631947	1.025517	1.052403	1.427268	1.28662	1.102267	1.049975	1.164507	1.010179	1.143958	1.05797	1.257069	1.280875	1.335476	0.9924725	1.126014	1.011719	0.836664	0.8213852	0.8692943	0.8985492	0.8597599	0.8199639	0.8160553	1.02913	0.9988091	0.861951	1.11269	1.343293	1.167113	1.095338	0.9991644	1.010298	1.038783	1.034815	1.178246	0.9989275	1.022675	0.8271887	0.9360948	1.016871	1.007514	0.9619149	0.9023393	1.311433	1.150531	0.7957428	1.055364	0.6051127	0.5942754	0.8244646	0.7724692	0.8171213	0.7139004	0.5857477	0.7795164	0.5097681	0.6337161	0.6451456	0.7110578	0.7201777	0.7957428	0.5357066	0.5918474	0.7397796	0.6367363	0.7924264	0.7629347	0.7904129	0.6567528	0.9056556	0.978082	0.6351374	0.7171575	0.6298668	0.7159138	0.6659319	0.7936701	0.5905445	0.7358119
L2T1103	19.59936	0.7784135	0.9560549	0.7811067	0.8692971	0.7871236	0.8576072	0.9239076	1.020063	0.838697	0.8389262	0.8495847	1.014505	1.048142	1.415803	1.300278	1.064416	1.059947	1.155701	1.010551	1.115588	1.056566	1.224408	1.269621	1.311395	0.9903226	1.102237	0.9986316	0.8168069	0.8268351	0.8505588	0.8832792	0.8429947	0.8188126	0.8107328	1.033644	1.010322	0.849642	1.104242	1.33191	1.140344	1.112666	1.000809	0.9832169	1.01588	1.015364	1.165786	0.9898068	1.021553	0.8101024	0.912676	1.007571	0.9819562	0.9686618	0.8962872	1.292886	1.132894	0.7821382	1.028831	0.5940675	0.582091	0.820589	0.7545751	0.8113058	0.6997355	0.5926922	0.7706202	0.4940725	0.6212294	0.6334351	0.7118266	0.7113108	0.7958338	0.5312626	0.5938956	0.7249491	0.6356126	0.762483	0.7507358	0.7801326	0.6456981	0.8903276	0.9785753	0.6357846	0.7319402	0.6202553	0.7069558	0.662087	0.7818517	0.582664	0.7139468
L2T1104	19.55459	0.7624397	0.9565774	0.7681296	0.8770333	0.788044	0.8725383	0.927047	1.016947	0.8481857	0.8329938	0.8522824	1.010972	1.046079	1.416203	1.265536	1.068269	1.047615	1.150943	1.009948	1.103432	1.05211	1.224285	1.283459	1.312933	1.001527	1.110943	0.9991374	0.8179157	0.817233	0.8582568	0.8948425	0.8348146	0.8330507	0.8025531	1.035552	0.9877577	0.8361233	1.1143	1.314696	1.164257	1.120274	0.9808161	0.9857663	1.035097	1.02753	1.168695	0.9875301	1.021271	0.8159812	0.9343869	1.007217	0.9916837	0.9624379	0.9027514	1.295408	1.100417	0.781899	1.036235	0.5934512	0.5877045	0.8125104	0.745484	0.8087551	0.7058826	0.5897528	0.7817283	0.5031533	0.6170072	0.6300369	0.7059395	0.7164657	0.7994806	0.5443478	0.5888993	0.731999	0.6369217	0.7633501	0.7568637	0.7804196	0.6533653	0.8855111	0.9615844	0.6485858	0.7179451	0.6142192	0.7081017	0.6588845	0.7971478	0.5892407	0.7383148
L2T1105	18.47951	0.7884368	0.9742019	0.7910492	0.8915134	0.8066101	0.8733969	0.9245661	1.03707	0.8611867	0.8329613	0.8746463	1.025655	1.059276	1.457043	1.296039	1.093237	1.052745	1.171666	1.00538	1.126119	1.047917	1.240497	1.283034	1.338974	1.009129	1.13248	1.003052	0.8337564	0.8271686	0.8644239	0.8956024	0.8398899	0.8395492	0.8237611	1.0415	1.016568	0.8611867	1.107378	1.333863	1.185296	1.132821	0.9899899	0.9869232	1.022645	1.036502	1.192225	0.9962938	1.031675	0.8226253	0.9460333	1.029062	0.9906146	0.9691474	0.9161041	1.290644	1.150653	0.797921	1.0461	0.6049434	0.603126	0.8220574	0.7715129	0.8273958	0.7197758	0.5929603	0.7966148	0.5074323	0.6174943	0.6469691	0.7133016	0.7260229	0.7926394	0.5319095	0.5898936	0.7382899	0.6445838	0.7827576	0.7719672	0.796274	0.6544656	0.9080965	0.9960098	0.6480481	0.7352231	0.6357812	0.7152325	0.6620756	0.811267	0.5980148	0.7425492
L2T1106	17.45358	0.7865325	0.9820964	0.799363	0.8826154	0.8092643	0.8832012	0.9488189	1.034063	0.8604694	0.8542006	0.8567784	1.031368	1.060193	1.452258	1.317625	1.120128	1.061189	1.179594	1.025978	1.136356	1.081929	1.259682	1.311649	1.333033	1.006	1.14573	1.022639	0.8420731	0.834984	0.8914034	0.9017734	0.8526773	0.8526188	0.8212746	1.051522	1.006586	0.8678514	1.144324	1.376564	1.200099	1.146492	1.013558	1.007582	1.067282	1.029083	1.20877	1.012152	1.039863	0.8322304	0.9564938	1.041562	0.9986765	0.9880722	0.9218688	1.32073	1.166587	0.8193413	1.052987	0.6253592	0.6062012	0.832289	0.7762797	0.8296526	0.7278867	0.6042678	0.7946761	0.5188478	0.6351433	0.645396	0.7333353	0.7309333	0.8164119	0.5536485	0.6108296	0.7543681	0.6540083	0.8039328	0.7823142	0.8209817	0.6728734	0.9204627	0.9962159	0.6649641	0.7376708	0.6305149	0.727711	0.6852939	0.8024682	0.6044436	0.7372021
L2T1107	19.03229	0.7792362	0.9571174	0.7795155	0.8759982	0.7952701	0.879853	0.9241558	1.016504	0.8578972	0.8430924	0.8368353	1.019856	1.051254	1.429084	1.292433	1.084215	1.039857	1.150195	1.015219	1.111143	1.058293	1.231537	1.277907	1.309696	0.9932635	1.10226	1.017342	0.8333715	0.829796	0.8672271	0.8898533	0.8564447	0.8222539	0.8305223	1.038684	1.004102	0.8575062	1.082875	1.3383	1.186508	1.110473	1.005945	0.9945485	1.035778	1.017957	1.175111	0.9940457	1.04198	0.8104659	0.9338767	1.00818	0.9852186	0.9545475	0.9067252	1.300589	1.117903	0.7761076	1.049857	0.6106289	0.5993437	0.8277289	0.7585094	0.8180639	0.7242069	0.595433	0.7849346	0.5047604	0.6173888	0.6289533	0.7160503	0.7032567	0.7843759	0.5408507	0.6002375	0.7411347	0.6348752	0.7629788	0.7710795	0.7794596	0.6758818	0.9070604	0.985498	0.640015	0.7253243	0.6168301	0.7194024	0.672418	0.7933706	0.6028074	0.7390676
L2T1108	19.10988	0.7754988	0.9542509	0.7797165	0.8831607	0.7915371	0.8787211	0.9365477	1.024009	0.8571332	0.8491418	0.8611289	1.017405	1.065909	1.43712	1.293885	1.098762	1.039049	1.152427	1.000978	1.104034	1.051591	1.222018	1.272575	1.313198	0.9702337	1.109528	1.01574	0.820173	0.8250011	0.8632932	0.8927615	0.8663455	0.8342134	0.8061325	1.041157	0.9846071	0.8418163	1.112303	1.343332	1.162749	1.11863	0.9890468	0.9974822	1.029281	1.010246	1.179342	0.9935974	1.029337	0.813569	0.9230622	1.016406	0.9998685	0.9564152	0.8771117	1.294107	1.118796	0.7898722	1.048982	0.6085118	0.593528	0.8257225	0.7590165	0.8162328	0.713399	0.5912526	0.7733345	0.4957998	0.6174467	0.646693	0.719781	0.7148974	0.793424	0.5389201	0.5898097	0.7454201	0.6455831	0.7763867	0.7626238	0.8041902	0.6576257	0.8981446	0.9647396	0.6497452	0.7228888	0.6244391	0.7116231	0.6585691	0.8030802	0.5977456	0.7352088
L2T1109	18.64134	0.7768613	0.97195	0.7901704	0.8804502	0.7970467	0.8806166	0.9314128	1.048144	0.8604866	0.8477321	0.8572702	1.027571	1.057849	1.424181	1.297246	1.091621	1.056629	1.174525	1.016979	1.102545	1.066389	1.231477	1.267411	1.32891	0.9984018	1.12445	1.0116	0.8320385	0.8364194	0.8552739	0.9030202	0.8430185	0.8312621	0.8079712	1.035501	1.005555	0.8661984	1.105484	1.354308	1.16715	1.123063	0.9965164	0.9982354	1.031286	1.00794	1.180348	1.00977	1.017866	0.825273	0.9392319	1.010103	0.99574	0.9563673	0.9136674	1.30024	1.133655	0.7932758	1.042876	0.6151007	0.596468	0.8107994	0.767434	0.8181749	0.7141423	0.5870962	0.7854567	0.5121218	0.6335116	0.6464324	0.7191332	0.7316659	0.8029249	0.5366327	0.5968007	0.7442541	0.6386688	0.7916122	0.7795231	0.8013722	0.6611279	0.9082329	0.9798246	0.650037	0.7363241	0.626857	0.737045	0.6660633	0.7955494	0.5979098	0.7317768
