SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	2315062	403031
1	1101	17198	17198
2	1101	21525	21525
3	1101	17541	17541
4	1101	19117	19117
5	1101	17561	17561
6	1101	19073	19073
7	1101	20221	20221
8	1101	22454	22454
9	1101	18736	18736
10	1101	18096	18096
11	1101	18204	18204
12	1101	22234	22234
13	1101	23565	23565
14	1101	31446	31446
15	1101	28299	28299
16	1101	23637	23637
17	1101	22523	22523
18	1101	25358	25358
19	1101	22114	22114
20	1101	23893	23893
21	1101	22865	22865
22	1101	26704	26704
23	1101	27728	27728
24	1101	28603	28603
25	1101	21603	21603
26	1101	23979	23979
27	1101	22093	22093
28	1101	18265	18265
29	1101	18250	18250
30	1101	18537	18537
31	1101	19555	19555
32	1101	18339	18339
33	1101	18331	18331
34	1101	17812	17812
35	1101	22709	22709
36	1101	22266	22266
37	1101	18732	18732
38	1101	24708	24708
39	1101	29690	29690
40	1101	26003	26003
41	1101	24310	24310
42	1101	21840	21840
43	1101	21874	21874
44	1101	22521	22521
45	1101	22164	22164
46	1101	26025	26025
47	1101	21670	21670
48	1101	22425	22425
49	1101	18065	18065
50	1101	20528	20528
51	1101	22141	22141
52	1101	21678	21678
53	1101	21142	21142
54	1101	19697	19697
55	1101	28355	28355
56	1101	24301	24301
57	1101	17540	17540
58	1101	23048	23048
59	1101	13502	13502
60	1101	13200	13200
61	1101	18421	18421
62	1101	16666	16666
63	1101	18060	18060
64	1101	15711	15711
65	1101	13022	13022
66	1101	17046	17046
67	1101	11056	11056
68	1101	13758	13758
69	1101	14091	14091
70	1101	15669	15669
71	1101	16033	16033
72	1101	17253	17253
73	1101	11805	11805
74	1101	12918	12918
75	1101	16186	16186
76	1101	14198	14198
77	1101	17151	17151
78	1101	16691	16691
79	1101	17536	17536
80	1101	14579	14579
81	1101	19838	19838
82	1101	21635	21635
83	1101	14338	14338
84	1101	16056	16056
85	1101	13675	13675
86	1101	16138	16138
87	1101	14719	14719
88	1101	17726	17726
89	1101	13228	13228
90	1101	16046	16046
0	1102	2296812	406164
1	1102	17124	17124
2	1102	21460	21460
3	1102	17534	17534
4	1102	19301	19301
5	1102	17877	17877
6	1102	19404	19404
7	1102	20389	20389
8	1102	22662	22662
9	1102	19045	19045
10	1102	18511	18511
11	1102	18895	18895
12	1102	22724	22724
13	1102	23741	23741
14	1102	31640	31640
15	1102	28488	28488
16	1102	24217	24217
17	1102	22819	22819
18	1102	25410	25410
19	1102	22200	22200
20	1102	24275	24275
21	1102	23099	23099
22	1102	26882	26882
23	1102	27997	27997
24	1102	28892	28892
25	1102	22132	22132
26	1102	24374	24374
27	1102	22109	22109
28	1102	18392	18392
29	1102	18524	18524
30	1102	18747	18747
31	1102	19515	19515
32	1102	19066	19066
33	1102	18587	18587
34	1102	17962	17962
35	1102	22843	22843
36	1102	22423	22423
37	1102	18950	18950
38	1102	24696	24696
39	1102	30200	30200
40	1102	25962	25962
41	1102	24504	24504
42	1102	22275	22275
43	1102	22021	22021
44	1102	22824	22824
45	1102	22436	22436
46	1102	26339	26339
47	1102	21693	21693
48	1102	22625	22625
49	1102	17970	17970
50	1102	20620	20620
51	1102	22137	22137
52	1102	22087	22087
53	1102	21402	21402
54	1102	19583	19583
55	1102	28484	28484
56	1102	24652	24652
57	1102	17783	17783
58	1102	23230	23230
59	1102	13487	13487
60	1102	13251	13251
