SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	3913842	1973418
1	1101	7382	7382
2	1101	12818	12818
3	1101	10857	10857
4	1101	9582	9582
5	1101	12633	12633
6	1101	10817	10817
7	1101	6390	6390
8	1101	6616	6616
9	1101	8857	8857
10	1101	11900	11900
11	1101	10379	10379
12	1101	8162	8162
13	1101	8917	8917
14	1101	9950	9950
15	1101	9231	9231
16	1101	10769	10769
17	1101	10104	10104
18	1101	12698	12698
0	1102	4091904	0
1	1102	0	0
2	1102	0	0
3	1102	0	0
4	1102	0	0
5	1102	0	0
6	1102	0	0
7	1102	0	0
8	1102	0	0
9	1102	0	0
10	1102	0	0
11	1102	0	0
12	1102	0	0
13	1102	0	0
14	1102	0	0
15	1102	0	0
16	1102	0	0
17	1102	0	0
18	1102	0	0
0	1103	3880274	2356263
1	1103	8924	8924
2	1103	16129	16129
3	1103	12886	12886
4	1103	11534	11534
5	1103	14975	14975
6	1103	12789	12789
7	1103	7405	7405
8	1103	7765	7765
9	1103	10212	10212
10	1103	13949	13949
11	1103	12493	12493
12	1103	9795	9795
13	1103	10481	10481
14	1103	11683	11683
15	1103	10979	10979
16	1103	13005	13005
17	1103	12053	12053
18	1103	14573	14573
0	1104	3880244	2367463
1	1104	8957	8957
2	1104	15672	15672
3	1104	13040	13040
4	1104	11383	11383
5	1104	14873	14873
6	1104	12853	12853
7	1104	7454	7454
8	1104	7978	7978
9	1104	10115	10115
10	1104	13697	13697
11	1104	12594	12594
12	1104	9971	9971
13	1104	10783	10783
14	1104	11821	11821
15	1104	10677	10677
16	1104	12820	12820
17	1104	12043	12043
18	1104	14929	14929
0	1105	3879268	2388297
1	1105	8958	8958
2	1105	15948	15948
3	1105	13278	13278
4	1105	11436	11436
5	1105	15103	15103
6	1105	13006	13006
7	1105	7501	7501
8	1105	7888	7888
9	1105	10069	10069
10	1105	13910	13910
11	1105	12617	12617
12	1105	10042	10042
13	1105	10700	10700
14	1105	11627	11627
15	1105	11050	11050
16	1105	12709	12709
17	1105	12068	12068
18	1105	14726	14726
0	1106	3883371	2345398
1	1106	8563	8563
2	1106	15805	15805
3	1106	12781	12781
4	1106	11312	11312
5	1106	14805	14805
6	1106	12462	12462
7	1106	7447	7447
8	1106	7642	7642
9	1106	10086	10086
10	1106	13744	13744
11	1106	12247	12247
12	1106	9753	9753
13	1106	10565	10565
14	1106	11495	11495
15	1106	10699	10699
16	1106	12717	12717
17	1106	11779	11779
18	1106	14631	14631
0	1107	3882223	2346307
1	1107	8715	8715
2	1107	15642	15642
3	1107	12897	12897
4	1107	11513	11513
5	1107	14818	14818
6	1107	12693	12693
7	1107	7423	7423
8	1107	7851	7851
9	1107	10317	10317
10	1107	13640	13640
11	1107	12273	12273
12	1107	9894	9894
13	1107	10392	10392
14	1107	11526	11526
15	1107	10791	10791
16	1107	12743	12743
17	1107	12036	12036
18	1107	14517	14517
0	1108	3874134	2426874
1	1108	9045	9045
2	1108	16737	16737
3	1108	13495	13495
4	1108	11635	11635
5	1108	15624	15624
6	1108	13382	13382
7	1108	7761	7761
8	1108	8227	8227
9	1108	10431	10431
10	1108	14170	14170
11	1108	12773	12773
12	1108	10130	10130
13	1108	10910	10910
14	1108	11886	11886
15	1108	11104	11104
16	1108	13159	13159
17	1108	12507	12507
18	1108	14794	14794
0	1109	3958769	1482071
1	1109	5446	5446
2	1109	9855	9855
3	1109	8260	8260
4	1109	7011	7011
5	1109	9577	9577
6	1109	8220	8220
7	1109	4713	4713
8	1109	4877	4877
9	1109	6514	6514
