Channel State,Experiment Time (minutes),State Time (samples)
adapter,0,6430
adapter,1,0
adapter,2,15904
adapter,3,9831516
adapter,4,16451076
adapter,5,17418373
adapter,6,47659265
adapter,7,45279904
adapter,8,44584492
adapter,9,43637558
adapter,10,42719596
adapter,11,42324632
adapter,12,41682172
adapter,13,41365827
adapter,14,40196973
adapter,15,40186319
adapter,16,39300757
adapter,17,39308075
adapter,18,38853954
adapter,19,37930711
adapter,20,38071214
adapter,21,36950874
adapter,22,36868301
adapter,23,36927149
adapter,24,36803988
adapter,25,36076489
adapter,26,35907541
adapter,27,35470146
adapter,28,35286025
adapter,29,34747022
adapter,30,35050647
adapter,31,34172735
adapter,32,34443141
adapter,33,34663787
adapter,34,33978772
adapter,35,34036416
adapter,36,33674231
adapter,37,33173555
adapter,38,33234891
adapter,39,33709786
adapter,40,33090950
adapter,41,33114201
adapter,42,32896057
adapter,43,32845158
adapter,44,32801680
adapter,45,32442214
adapter,46,31974579
adapter,47,31361204
adapter,48,31196005
adapter,49,30885824
adapter,50,30977147
adapter,51,30617721
adapter,52,30303716
adapter,53,30574013
adapter,54,30428478
adapter,55,29979764
adapter,56,29890681
adapter,57,29438666
adapter,58,30020997
adapter,59,29868515
adapter,60,29092475
adapter,61,29024704
adapter,62,29228584
adapter,63,28761017
adapter,64,29278612
adapter,65,28558202
adapter,66,28931405
adapter,67,28574263
adapter,68,28390378
adapter,69,28383111
adapter,70,28677003
adapter,71,28369485
adapter,72,27863352
adapter,73,27839127
adapter,74,28224095
adapter,75,27589832
adapter,76,27491692
adapter,77,27428380
adapter,78,27630209
adapter,79,27692447
adapter,80,27073952
adapter,81,27131289
adapter,82,27175220
adapter,83,26790385
adapter,84,26661230
adapter,85,27206691
adapter,86,26445263
adapter,87,26422404
adapter,88,26259893
adapter,89,26218413
adapter,90,26229233
adapter,91,25320091
adapter,92,25782215
adapter,93,25728910
adapter,94,25974595
adapter,95,22726562
adapter,96,386226
adapter,97,3758
adapter,98,1690599
adapter,99,9034449
adapter,100,11882227
adapter,101,12967394
adapter,102,29423822
adapter,103,28680910
adapter,104,28578234
adapter,105,28479663
adapter,106,28037932
adapter,107,27668947
adapter,108,27440461
adapter,109,27354337
adapter,110,27239121
adapter,111,27438344
adapter,112,27282813
adapter,113,27049750
adapter,114,27016697
adapter,115,26897391
adapter,116,26900479
adapter,117,26558727
adapter,118,26850718
adapter,119,27071315
adapter,120,26385951
adapter,121,26816788
adapter,122,26908060
adapter,123,26818796
adapter,124,26860288
adapter,125,26785473
adapter,126,26170851
adapter,127,25994454
adapter,128,26013938
adapter,129,25875308
adapter,130,26145985
adapter,131,25618563
adapter,132,25971559
adapter,133,25758529
adapter,134,25569169
adapter,135,25675237
adapter,136,25599203
adapter,137,25992248
adapter,138,25869527
adapter,139,25150388
adapter,140,25946572
adapter,141,25427946
adapter,142,25367081
adapter,143,25361867
adapter,144,24922055
adapter,145,25324551
adapter,146,25096456
adapter,147,25316318
adapter,148,24878513
adapter,149,25099427
adapter,150,25080206
adapter,151,25043426
adapter,152,24947894
adapter,153,24946002
