Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
16s-A01_S56_L001_R1_001	(2.0, 217.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 0.0)	(19.0, 2.0)	(20.0, 8.0)	(21.0, 19.0)	(22.0, 63.0)	(23.0, 237.0)	(24.0, 719.0)	(25.0, 1715.0)	(26.0, 3610.0)	(27.0, 6777.0)	(28.0, 10969.0)	(29.0, 16004.0)	(30.0, 22337.0)	(31.0, 30460.0)	(32.0, 43066.0)	(33.0, 64426.0)	(34.0, 96307.0)	(35.0, 183847.0)	(36.0, 250073.0)	(37.0, 199.0)
16s-A01_S56_L001_R2_001	(2.0, 208.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 74.0)	(13.0, 277.0)	(14.0, 227.0)	(15.0, 222.0)	(16.0, 210.0)	(17.0, 274.0)	(18.0, 402.0)	(19.0, 482.0)	(20.0, 701.0)	(21.0, 1051.0)	(22.0, 1343.0)	(23.0, 2044.0)	(24.0, 3181.0)	(25.0, 5168.0)	(26.0, 7562.0)	(27.0, 11215.0)	(28.0, 14944.0)	(29.0, 20744.0)	(30.0, 28925.0)	(31.0, 40188.0)	(32.0, 53985.0)	(33.0, 73064.0)	(34.0, 103880.0)	(35.0, 198783.0)	(36.0, 161819.0)	(37.0, 85.0)
16s-A02_S64_L001_R1_001	(2.0, 229.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 2.0)	(20.0, 13.0)	(21.0, 26.0)	(22.0, 97.0)	(23.0, 296.0)	(24.0, 826.0)	(25.0, 1984.0)	(26.0, 4146.0)	(27.0, 7663.0)	(28.0, 12320.0)	(29.0, 17932.0)	(30.0, 24662.0)	(31.0, 33795.0)	(32.0, 47329.0)	(33.0, 69165.0)	(34.0, 101322.0)	(35.0, 193495.0)	(36.0, 241117.0)	(37.0, 160.0)
16s-A02_S64_L001_R2_001	(2.0, 228.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 81.0)	(13.0, 319.0)	(14.0, 314.0)	(15.0, 230.0)	(16.0, 239.0)	(17.0, 360.0)	(18.0, 454.0)	(19.0, 576.0)	(20.0, 820.0)	(21.0, 1191.0)	(22.0, 1588.0)	(23.0, 2298.0)	(24.0, 3762.0)	(25.0, 6058.0)	(26.0, 8751.0)	(27.0, 12414.0)	(28.0, 17062.0)	(29.0, 23203.0)	(30.0, 31565.0)	(31.0, 43292.0)	(32.0, 58497.0)	(33.0, 77599.0)	(34.0, 110107.0)	(35.0, 203524.0)	(36.0, 151992.0)	(37.0, 57.0)
16s-A03_S72_L001_R1_001	(2.0, 790.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 2.0)	(20.0, 12.0)	(21.0, 23.0)	(22.0, 90.0)	(23.0, 202.0)	(24.0, 671.0)	(25.0, 1610.0)	(26.0, 3737.0)	(27.0, 6942.0)	(28.0, 11388.0)	(29.0, 17151.0)	(30.0, 24075.0)	(31.0, 33598.0)	(32.0, 47613.0)	(33.0, 72245.0)	(34.0, 110431.0)	(35.0, 216692.0)	(36.0, 348860.0)	(37.0, 391.0)
16s-A03_S72_L001_R2_001	(2.0, 781.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 101.0)	(13.0, 335.0)	(14.0, 300.0)	(15.0, 234.0)	(16.0, 260.0)	(17.0, 331.0)	(18.0, 438.0)	(19.0, 503.0)	(20.0, 743.0)	(21.0, 1176.0)	(22.0, 1578.0)	(23.0, 2428.0)	(24.0, 3995.0)	(25.0, 6409.0)	(26.0, 9836.0)	(27.0, 13557.0)	(28.0, 18091.0)	(29.0, 24234.0)	(30.0, 32860.0)	(31.0, 44359.0)	(32.0, 60836.0)	(33.0, 85191.0)	(34.0, 124532.0)	(35.0, 244547.0)	(36.0, 218713.0)	(37.0, 153.0)
16s-A04_S80_L001_R1_001	(2.0, 458.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 7.0)	(20.0, 11.0)	(21.0, 49.0)	(22.0, 129.0)	(23.0, 401.0)	(24.0, 1071.0)	(25.0, 2532.0)	(26.0, 5097.0)	(27.0, 8319.0)	(28.0, 12965.0)	(29.0, 18042.0)	(30.0, 24464.0)	(31.0, 33151.0)	(32.0, 46342.0)	(33.0, 69294.0)	(34.0, 102793.0)	(35.0, 197266.0)	(36.0, 268538.0)	(37.0, 188.0)
16s-A04_S80_L001_R2_001	(2.0, 447.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 81.0)	(13.0, 329.0)	(14.0, 290.0)	(15.0, 220.0)	(16.0, 183.0)	(17.0, 339.0)	(18.0, 438.0)	(19.0, 554.0)	(20.0, 780.0)	(21.0, 1134.0)	(22.0, 1674.0)	(23.0, 2468.0)	(24.0, 3807.0)	(25.0, 5815.0)	(26.0, 8469.0)	(27.0, 12237.0)	(28.0, 16815.0)	(29.0, 23794.0)	(30.0, 32610.0)	(31.0, 46210.0)	(32.0, 63703.0)	(33.0, 85542.0)	(34.0, 114622.0)	(35.0, 194660.0)	(36.0, 173788.0)	(37.0, 110.0)
16s-A05_S88_L001_R1_001	(2.0, 194.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 5.0)	(20.0, 6.0)	(21.0, 25.0)	(22.0, 83.0)	(23.0, 247.0)	(24.0, 766.0)	(25.0, 1895.0)	(26.0, 3916.0)	(27.0, 6963.0)	(28.0, 10998.0)	(29.0, 16408.0)	(30.0, 22974.0)	(31.0, 32230.0)	(32.0, 44606.0)	(33.0, 65813.0)	(34.0, 100228.0)	(35.0, 187177.0)	(36.0, 324045.0)	(37.0, 702.0)
16s-A05_S88_L001_R2_001	(2.0, 189.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 118.0)	(13.0, 366.0)	(14.0, 298.0)	(15.0, 223.0)	(16.0, 220.0)	(17.0, 316.0)	(18.0, 480.0)	(19.0, 541.0)	(20.0, 763.0)	(21.0, 1119.0)	(22.0, 1509.0)	(23.0, 2129.0)	(24.0, 3561.0)	(25.0, 5617.0)	(26.0, 8326.0)	(27.0, 11791.0)	(28.0, 16422.0)	(29.0, 21996.0)	(30.0, 29507.0)	(31.0, 40714.0)	(32.0, 56443.0)	(33.0, 76607.0)	(34.0, 110368.0)	(35.0, 218624.0)	(36.0, 210878.0)	(37.0, 157.0)
16s-A06_S96_L001_R1_001	(2.0, 277.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 17.0)	(21.0, 30.0)	(22.0, 111.0)	(23.0, 446.0)	(24.0, 1174.0)	(25.0, 2787.0)	(26.0, 5495.0)	(27.0, 9627.0)	(28.0, 14366.0)	(29.0, 19646.0)	(30.0, 26562.0)	(31.0, 35762.0)	(32.0, 49498.0)	(33.0, 72224.0)	(34.0, 108394.0)	(35.0, 205667.0)	(36.0, 312798.0)	(37.0, 331.0)
16s-A06_S96_L001_R2_001	(2.0, 269.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 106.0)	(13.0, 392.0)	(14.0, 338.0)	(15.0, 246.0)	(16.0, 284.0)	(17.0, 372.0)	(18.0, 480.0)	(19.0, 634.0)	(20.0, 882.0)	(21.0, 1232.0)	(22.0, 1718.0)	(23.0, 2434.0)	(24.0, 4028.0)	(25.0, 6376.0)	(26.0, 9611.0)	(27.0, 13623.0)	(28.0, 18888.0)	(29.0, 26073.0)	(30.0, 35115.0)	(31.0, 48018.0)	(32.0, 64624.0)	(33.0, 86702.0)	(34.0, 123006.0)	(35.0, 232174.0)	(36.0, 187511.0)	(37.0, 79.0)
16s-A07_S104_L001_R1_001	(2.0, 79.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 3.0)	(20.0, 7.0)	(21.0, 33.0)	(22.0, 82.0)	(23.0, 168.0)	(24.0, 445.0)	(25.0, 1231.0)	(26.0, 2961.0)	(27.0, 5713.0)	(28.0, 9421.0)	(29.0, 14604.0)	(30.0, 20287.0)	(31.0, 28472.0)	(32.0, 40020.0)	(33.0, 59821.0)	(34.0, 90950.0)	(35.0, 177674.0)	(36.0, 248062.0)	(37.0, 306.0)
