.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
its-A01_S152_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A01_S152_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A02_S160_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A02_S160_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A03_S168_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A03_S168_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A04_S176_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A04_S176_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A05_S184_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A05_S184_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A06_S192_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A06_S192_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A07_S200_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A07_S200_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A08_S208_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A08_S208_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A09_S216_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A09_S216_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A10_S224_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A10_S224_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A11_S232_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A11_S232_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A12_S240_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-A12_S240_L001_R2_001	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
its-B01_S153_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
its-B01_S153_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
