Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
its-A01_S152_L001_R1_001	(1.0, 2.5482688060941268)	(2.0, 0.6620879677465102)	(3.0, 0.3999270649729532)	(4.0, 0.3149712649499922)	(5.0, 0.264727135206683)	(6.0, 0.24716870276950503)	(7.0, 0.22312715681706138)	(8.0, 0.19233236761954928)	(9.0, 0.17747523248039873)	('>10', 3.0313958278463233)	('>50', 1.5516251679869257)	('>100', 4.292496471430404)	('>500', 2.2454533789852578)	('>1k', 5.446085482552996)	('>5k', 7.485429877698765)	('>10k+', 70.91742809484255)
its-A01_S152_L001_R2_001	(1.0, 3.448341065796849)	(2.0, 0.5745659352904232)	(3.0, 0.395064729836504)	(4.0, 0.29228036764656223)	(5.0, 0.2613505135841488)	(6.0, 0.23339208654956545)	(7.0, 0.19287262707915476)	(8.0, 0.1880102919427055)	(9.0, 0.15681030815048927)	('>10', 2.826772557520749)	('>50', 1.3048616598121248)	('>100', 3.4637384603956054)	('>500', 2.570689573667754)	('>1k', 5.258480385204995)	('>5k', 6.41233952605739)	('>10k+', 72.42042991146498)
its-A02_S160_L001_R1_001	(1.0, 2.87688457817057)	(2.0, 0.6771575944204202)	(3.0, 0.42650162388077834)	(4.0, 0.3119396990195984)	(5.0, 0.2587995290538703)	(6.0, 0.23022806104632307)	(7.0, 0.19710172132742765)	(8.0, 0.1711527552142929)	(9.0, 0.18509342317932806)	('>10', 3.6724688370860417)	('>50', 1.9377528471398855)	('>100', 3.930026128400453)	('>500', 2.9809564954541)	('>1k', 6.746179083753049)	('>5k', 6.398214490289152)	('>10k+', 68.99954313256471)
its-A02_S160_L001_R2_001	(1.0, 3.3982103494966864)	(2.0, 0.5556943487844703)	(3.0, 0.3399590613651641)	(4.0, 0.25120807620162344)	(5.0, 0.21877186856020503)	(6.0, 0.19792987982040003)	(7.0, 0.155555770263313)	(8.0, 0.1601106419746611)	(9.0, 0.15652195517178077)	('>10', 3.387168236257055)	('>50', 1.3040735736005158)	('>100', 2.7762633212744254)	('>500', 1.7474144201717323)	('>1k', 10.039351331057738)	('>5k', 2.043067002162874)	('>10k+', 73.26870016383735)
its-A03_S168_L001_R1_001	(1.0, 3.173864761847595)	(2.0, 0.7683303820642876)	(3.0, 0.4917114359174445)	(4.0, 0.3474827509162273)	(5.0, 0.2951269045689646)	(6.0, 0.28212131216423064)	(7.0, 0.26261292355712956)	(8.0, 0.17874352638301136)	(9.0, 0.1755754974639095)	('>10', 4.104598310606894)	('>50', 1.9908560681092868)	('>100', 3.8778341353448647)	('>500', 1.2390327840971618)	('>1k', 9.198288597430228)	('>5k', 8.600364823540788)	('>10k+', 65.01345578598797)
its-A03_S168_L001_R2_001	(1.0, 4.3610419146899835)	(2.0, 0.7169749659020046)	(3.0, 0.4752043378652821)	(4.0, 0.3801634702922257)	(5.0, 0.2967942882105972)	(6.0, 0.2721170103144352)	(7.0, 0.2579442493605584)	(8.0, 0.2227624545221112)	(9.0, 0.1905819502386026)	('>10', 3.613053613053613)	('>50', 1.3997685671505415)	('>100', 2.5149147466744033)	('>500', 2.0493812339305904)	('>1k', 13.539488646784784)	('>5k', 7.134234387453271)	('>10k+', 62.57557416355699)
its-A04_S176_L001_R1_001	(1.0, 3.0646487664046975)	(2.0, 0.6353920124856562)	(3.0, 0.3966797041701496)	(4.0, 0.29263256865011034)	(5.0, 0.26282739962093243)	(6.0, 0.19427551085382327)	(7.0, 0.1716506779998564)	(8.0, 0.15823835193672633)	(9.0, 0.1304653535231742)	('>10', 3.0212957932713476)	('>50', 2.0627886529011943)	('>100', 4.178142785726576)	('>500', 1.575203183192052)	('>1k', 4.661663914204466)	('>5k', 0.0)	('>10k+', 79.19409532505924)
its-A04_S176_L001_R2_001	(1.0, 1.9069889057032192)	(2.0, 0.3229796498434551)	(3.0, 0.2296352795657116)	(4.0, 0.19237881827923922)	(5.0, 0.15986408842922695)	(6.0, 0.172328068205065)	(7.0, 0.16027052255235208)	(8.0, 0.138729514026719)	(9.0, 0.1304653535231742)	('>10', 2.71863784958415)	('>50', 1.1335447693960525)	('>100', 1.1785234790219028)	('>500', 0.9365596977213949)	('>1k', 3.9131477374489756)	('>5k', 3.964358436962745)	('>10k+', 82.74158782973662)
its-A05_S184_L001_R1_001	(1.0, 2.3844418818485233)	(2.0, 0.5430558448353815)	(3.0, 0.3360443791942047)	(4.0, 0.23622167244944092)	(5.0, 0.20320143866618573)	(6.0, 0.16535517071460865)	(7.0, 0.14224100706633003)	(8.0, 0.11785683442638775)	(9.0, 0.14287601156216187)	('>10', 2.6318396334246046)	('>50', 1.8407510325173102)	('>100', 4.790600917454495)	('>500', 0.93942565113361)	('>1k', 3.668547973319651)	('>5k', 1.0506784388033468)	('>10k+', 80.80686211258376)
its-A05_S184_L001_R2_001	(1.0, 1.8145888472890388)	(2.0, 0.31115220295759694)	(3.0, 0.21298050790199596)	(4.0, 0.17780125883291253)	(5.0, 0.1562111059746303)	(6.0, 0.1310649279396898)	(7.0, 0.14046299447800092)	(8.0, 0.12496888477970423)	(9.0, 0.1108717849722376)	('>10', 2.4680084734999923)	('>50', 1.082047660897439)	('>100', 1.686317939131009)	('>500', 0.949458722167753)	('>1k', 2.7691276054234466)	('>5k', 1.4229180742599659)	('>10k+', 86.44201900949459)
