Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
its-A01_S152_L001_R1_001	its-A01_S152_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	740385.0	184.8 Mbp	0.0	35-251	53.0	3.4657644333691255	250.3317422692248	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-A01_S152_L001_R2_001	its-A01_S152_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	740385.0	185.1 Mbp	0.0	35-251	52.0	4.286418552509843	250.1922148611871	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-A02_S160_L001_R1_001	its-A02_S160_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	724499.0	180.4 Mbp	0.0	35-251	56.0	3.8238838148844927	249.7099140233458	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-A02_S160_L001_R2_001	its-A02_S160_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	724499.0	180.6 Mbp	0.0	35-251	55.0	4.191448159348736	249.44602131956015	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-A03_S168_L001_R1_001	its-A03_S168_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	599742.0	149 Mbp	0.0	35-251	55.0	4.240656815764112	248.993872365117	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-A03_S168_L001_R2_001	its-A03_S168_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	599742.0	149.1 Mbp	0.0	35-251	54.0	5.388650453028135	248.73245662301457	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-A04_S176_L001_R1_001	its-A04_S176_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	738127.0	184.4 Mbp	0.0	35-251	55.0	3.9321146631948163	250.37770735930266	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-A04_S176_L001_R2_001	its-A04_S176_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	738127.0	184.4 Mbp	0.0	35-251	54.0	2.4742354635448915	249.88734188019134	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-A05_S184_L001_R1_001	its-A05_S184_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	787396.0	196.7 Mbp	0.0	35-251	48.0	3.1216821015092786	250.12438214062556	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-A05_S184_L001_R2_001	its-A05_S184_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	787396.0	196.6 Mbp	0.0	35-251	47.0	2.3383405554511327	249.68875127635903	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-A06_S192_L001_R1_001	its-A06_S192_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	864109.0	216 Mbp	0.0	35-251	56.0	2.872438546525959	250.40018909651445	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-A06_S192_L001_R2_001	its-A06_S192_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	864109.0	215.8 Mbp	0.0	35-251	55.0	2.4929725300859036	249.71616196567794	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-A07_S200_L001_R1_001	its-A07_S200_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	962369.0	240.6 Mbp	0.0	35-251	49.0	1.988114746006989	250.49881802094623	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
