Sample.ID,ng.ul,260.280,260.230,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,Row,Col
A01,147.485,1.79,1.66,2.877,2.74,2.599,2.462,2.379,2.233,2.113,2.079,2.043,1.993,1.961,1.966,1.947,1.957,1.962,1.989,2.017,2.051,2.114,2.179,2.253,2.322,2.393,2.47,2.529,2.613,2.653,2.726,2.803,2.866,2.924,2.978,3.051,3.097,3.126,3.15,3.161,3.179,3.18,3.146,3.13,3.119,3.09,3.049,3.008,2.946,2.885,2.801,2.725,2.665,2.599,2.515,2.436,2.365,2.297,2.223,2.131,2.051,2.007,1.915,1.828,1.743,1.668,1.599,1.51,1.399,1.31,1.223,1.154,1.07,0.998,0.92,0.841,0.76,0.664,0.594,0.542,0.505,0.454,0.433,0.397,0.36,0.33,0.291,0.284,0.283,0.301,0.265,0.239,0.246,0.215,0.21,0.205,0.21,0.229,0.224,0.216,0.215,0.202,0.192,0.188,0.206,0.206,0.189,0.201,0.2,0.192,0.17,0.19,0.206,0.208,0.185,0.177,0.193,0.171,1.64E-01,0.182,0.163,0.177,0.18,0.18,0.192,0.167,0.171,0.144,0.129,0.144,0.153,1.45E-01,0.139,0.165,0.147,0.16,0.13,0.129,0.136,0.114,0.118,0.117,0.119,0.106,A,01
B01,166.775,1.75,1.77,3.098,2.877,2.737,2.631,2.51,2.366,2.255,2.176,2.139,2.098,2.055,2.059,2.043,2.038,2.039,2.077,2.108,2.149,2.229,2.297,2.38,2.456,2.541,2.644,2.715,2.818,2.859,2.955,3.047,3.127,3.196,3.259,3.329,3.412,3.459,3.497,3.517,3.528,3.533,3.519,3.507,3.497,3.462,3.429,3.381,3.324,3.25,3.159,3.09,3.019,2.933,2.846,2.747,2.684,2.613,2.502,2.394,2.312,2.278,2.189,2.079,1.978,1.883,1.782,1.684,1.576,1.486,1.389,1.296,1.192,1.103,1.004,0.908,0.828,0.743,0.667,0.594,0.561,0.502,0.465,0.413,0.387,0.36,0.326,0.312,0.306,0.322,0.277,0.255,0.258,0.259,0.26,0.239,0.25,0.248,0.247,0.24,0.26,0.234,2.39E-01,0.244,0.25,0.226,0.224,0.237,0.228,0.229,0.214,0.219,0.22,0.21,0.218,0.198,0.203,0.195,0.197,0.19,0.178,0.18,0.168,0.171,2.01E-01,0.203,0.184,0.211,0.196,2.00E-01,0.184,0.163,0.164,0.186,0.191,0.178,0.163,0.143,0.176,0.165,0.144,0.142,0.138,1.25E-01,B,01
C01,223.07,1.75,1,7.597,7.303,6.985,6.657,6.373,6.042,5.695,5.389,5.104,4.853,4.624,4.447,4.337,4.165,4.012,3.867,3.722,3.618,3.585,3.558,3.549,3.566,3.601,3.671,3.732,3.822,3.88,3.987,4.08,4.167,4.242,4.318,4.403,4.487,4.553,4.604,4.631,4.659,4.668,4.64,4.612,4.6,4.564,4.514,4.461,4.363,4.27,4.155,4.053,3.961,3.862,3.746,3.618,3.521,3.413,3.28,3.146,3.035,2.977,2.839,2.704,2.575,2.439,2.317,2.186,2.04,1.907,1.772,1.64E+00,1.517,1.403,1.262,1.137,1.031,0.893,0.788,0.698,0.654,0.586,0.523,0.477,0.42,0.381,0.347,0.31,0.315,0.303,0.268,0.241,0.235,0.213,0.232,0.216,0.22,2.30E-01,0.232,0.224,0.23,0.199,0.215,0.207,0.213,0.202,0.199,0.229,0.197,0.18,0.181,0.184,0.19,0.175,1.80E-01,1.65E-01,0.175,0.175,0.191,0.169,0.15,0.137,0.141,0.151,1.50E-01,0.169,0.167,0.146,0.151,0.162,0.13,0.132,0.131,0.115,0.116,0.127,0.094,0.094,1.26E-01,0.131,0.123,0.133,0.127,1.11E-01,C,01
D01,140.285,1.76,1.27,3.714,3.518,3.378,3.215,3.091,2.958,2.801,2.658,2.524,2.428,2.327,2.274,2.239,2.192,2.145,2.092,2.066,2.045,2.086,2.107,2.14,2.164,2.215,2.26,2.308,2.396,2.427,2.486,2.552,2.615,2.671,2.721,2.776,2.831,2.879,2.896,2.926,2.943,2.946,2.938,2.923,2.907,2.884,2.85,2.81,2.767,2.695,2.628,2.556,2.5,2.443,2.369,2.286,2.214,2.159,2.063,1.975,1.918,1.881,1.791,1.709,1.617,1.541,1.468,1.382,1.272,1.207,1.131,1.056,0.963,0.892,0.815,0.73,0.663,0.585,0.508,0.453,0.431,0.381,0.334,0.31,0.291,0.251,0.233,0.229,0.226,0.223,0.19,0.182,0.178,0.179,0.182,0.152,0.159,0.173,0.164,0.168,0.16,0.152,0.162,0.142,0.143,0.17,0.151,0.162,0.155,0.14,0.135,1.36E-01,0.139,0.137,0.144,0.135,0.131,0.122,0.1,1.19E-01,0.125,0.137,0.136,0.118,0.117,0.112,0.133,0.119,0.122,0.151,0.118,1.11E-01,0.088,0.09,0.116,1.16E-01,0.092,0.073,0.08,0.082,0.093,0.081,0.09,0.062,D,01
E01,384.66,1.78,1.44,8.651,8.212,7.833,7.506,7.183,6.773,6.431,6.119,5.867,5.654,5.473,5.341,5.264,5.13,5.037,4.961,4.945,4.944,5.013,5.098,5.217,5.374,5.557,5.723,5.886,6.106,6.218,6.43,6.632,6.824,6.986,7.167,7.344,7.504,7.634,7.734,7.798,7.858,7.878,7.867,7.826,7.795,7.733,7.644,7.532,7.391,7.223,7.054,6.877,6.716,6.495,6.301,6.114,5.889,5.711,5.488,5.253,5.045,4.936,4.703,4.459,4.229,4.008,3.787,3.544,3.296,3.077,2.852,2.621,2.385,2.171,1.952,1.73,1.53,1.312,1.121,0.956,0.878,0.75,0.654,0.571,0.499,0.445,0.397,0.358,0.356,0.343,0.29,0.276,0.258,0.244,0.239,0.224,0.217,0.223,0.226,0.218,0.235,0.215,0.216,0.231,0.23,0.233,0.2,0.203,0.211,0.186,0.211,0.198,0.168,0.176,0.164,0.148,0.166,0.149,1.56E-01,0.188,0.166,0.149,0.137,0.133,0.16,0.132,0.15,0.149,0.143,0.153,0.132,0.13,0.098,0.114,0.153,0.138,0.12,0.105,0.12,0.115,0.102,0.096,0.087,0.066,E,01
F01,389.355,1.77,1.21,10.58,10.126,9.691,9.256,8.882,8.422,7.973,7.525,7.137,6.796,6.532,6.323,6.214,5.999,5.813,5.663,5.518,5.441,5.453,5.483,5.539,5.629,5.767,5.901,6.042,6.25,6.356,6.555,6.745,6.919,7.089,7.249,7.426,7.585,7.721,7.81,7.871,7.911,7.942,7.93,7.892,7.868,7.793,7.706,7.592,7.455,7.275,7.088,6.915,6.73,6.541,6.341,6.131,5.943,5.754,5.521,5.287,5.068,4.959,4.726,4.504,4.26,4.031,3.804,3.563,3.302,3.085,2.852,2.625,2.39,2.164,1.942,1.714,1.523,1.31,1.118,0.953,0.871,0.732,0.636,0.554,0.481,0.417,0.362,0.315,0.298,0.292,0.248,0.229,0.211,0.215,0.209,0.174,0.184,0.19,0.178,0.186,0.185,0.163,0.168,0.163,0.183,0.208,0.201,0.179,0.166,0.129,0.139,0.159,0.158,0.159,0.149,0.117,0.152,0.137,0.128,0.133,0.116,0.125,0.121,1.05E-01,0.089,0.098,0.098,0.101,0.079,0.096,0.087,0.075,0.085,0.062,0.104,0.085,0.056,0.049,0.077,0.092,0.094,0.079,0.074,0.038,F,01
G01,371.465,1.79,0.96,12.685,12.299,11.844,11.345,10.866,10.345,9.752,9.188,8.669,8.215,7.818,7.488,7.312,6.998,6.689,6.393,6.147,5.943,5.846,5.80E+00,5.772,5.793,5.842,5.92E+00,6.034,6.167,6.25E+00,6.427,6.582,6.731,6.862,6.998,7.154,7.291,7.402,7.482,7.538,7.557,7.567,7.533,7.494,7.471,7.398,7.299,7.187,7.053,6.873,6.683,6.537,6.365,6.174,5.978,5.776,5.58,5.409,5.187,4.963,4.752,4.635,4.432,4.21,3.989,3.764,3.547,3.321,3.083,2.855,2.646,2.432,2.208,2.003,1.781,1.581,1.4,1.18,0.998,0.85,0.769,0.642,0.567,0.495,0.416,0.355,0.299,0.258,0.247,0.246,0.205,0.19,0.184,0.163,0.166,0.133,0.143,0.162,0.175,0.135,0.145,0.141,0.128,0.123,0.14,0.15,0.133,0.133,0.117,0.108,0.122,0.127,0.128,0.118,0.114,0.102,0.11,0.083,0.098,0.109,0.087,0.081,0.055,0.064,0.104,0.094,0.072,0.044,0.054,0.076,0.059,0.078,0.062,0.059,0.064,0.065,0.034,0.033,0.069,0.049,0.021,0.033,0.03,0.015,G,01
H01,249.24,1.79,1.13,7.013,6.793,6.52,6.233,5.999,5.661,5.388,5.106,4.842,4.62,4.45,4.304,4.239,4.117,3.986,3.891,3.783,3.731,3.741,3.743,3.787,3.83,3.914,3.989,4.07,4.187,4.243,4.358,4.469,4.571,4.665,4.756,4.86,4.94,5.009,5.059,5.086,5.094,5.1,5.075,5.034,5.012,4.962,4.897,4.823,4.731,4.607,4.479,4.371,4.258,4.135,3.993,3.859,3.741,3.633,3.488,3.324,3.19,3.122,2.989,2.832,2.687,2.543,2.408,2.256,2.095,1.96,1.812,1.676,1.517,1.377,1.243,1.119,0.989,0.84,0.723,0.62,0.573,0.501,0.437,0.389,0.336,0.289,0.243,0.234,0.214,0.212,0.189,0.18,0.169,0.148,0.158,0.129,0.133,0.138,0.131,0.146,0.141,0.133,0.141,0.144,1.51E-01,0.138,0.13,0.151,0.136,0.105,0.095,0.109,0.116,0.136,1.08E-01,0.096,0.134,0.103,0.089,1.00E-01,0.083,0.091,0.059,0.049,0.08,0.06,0.056,0.064,0.077,0.084,0.07,0.074,0.073,0.084,0.09,8.50E-02,0.066,0.059,0.106,0.102,0.073,0.071,0.042,0.041,H,01
A02,356.84,1.79,1.57,7.33,6.997,6.671,6.345,6.025,5.71,5.421,5.125,4.91,4.769,4.61,4.512,4.465,4.408,4.372,4.342,4.363,4.397,4.48,4.617,4.764,4.915,5.078,5.232,5.395,5.608,5.721,5.927,6.12,6.303,6.459,6.611,6.785,6.937,7.074,7.149,7.21,7.273,7.285,7.26,7.212,7.183,7.109,7.03,6.93,6.81,6.649,6.455,6.302,6.128,5.948,5.75,5.559,5.387,5.222,5.002,4.774,4.578,4.489,4.283,4.066,3.835,3.609,3.402,3.185,2.945,2.745,2.543,2.325,2.11,1.902,1.699,1.501,1.319,1.123,0.945,0.792,0.721,0.6,0.522,0.441,0.378,0.324,0.269,0.243,0.235,0.222,1.91E-01,0.175,0.148,0.139,0.133,0.125,0.148,0.136,0.128,0.124,0.135,0.104,0.118,0.116,0.128,0.14,0.113,0.113,0.097,0.1,0.103,0.086,0.067,0.076,0.067,0.066,0.087,0.073,0.083,0.081,0.067,7.30E-02,0.077,0.075,8.80E-02,0.058,0.066,6.20E-02,0.036,5.30E-02,0.061,0.033,4.60E-02,0.034,0.069,0.043,0.035,0.03,4.10E-02,0.03,0.006,0.018,0.019,-0.013,A,02
