Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
16s-A01_S56_L001_R1_001	(1, 35.385593208746776)	(2, 34.901627504247266)	(3, 34.83168093366053)	(4, 35.37301144368846)	(5, 35.84742797425102)	(6, 35.73269015591102)	(7, 35.595584755245135)	(8, 35.7077044502625)	(9, 35.08820777558005)	(10, 35.92070834325047)	(15, 35.540067409152215)	(20, 35.45908341061859)	(25, 35.73210415589461)	(30, 35.833938757253186)	(35, 35.74458029591632)	(40, 35.601822728072214)	(45, 35.94860679764778)	(50, 35.7997700036552)	(55, 35.66620212297667)	(60, 36.12298353578837)	(65, 35.337464029303206)	(70, 35.33932563792142)	(75, 35.34068136794656)	(80, 35.06966289010414)	(85, 35.18796023853739)	(90, 35.33781026743652)	(95, 35.05759931319587)	(100, 34.78111042733314)	(105, 34.97366784611881)	(110, 34.83686430278115)	(115, 34.79091446244588)	(120, 34.702468318415065)	(125, 34.66133079791606)	(130, 34.31689422057959)	(135, 34.25131017467446)	(140, 34.518500568420606)	(145, 34.61553557874857)	(150, 34.523555124677316)	(155, 34.25081489161711)	(160, 34.48838302340145)	(165, 34.300484846940826)	(170, 34.008216308628086)	(175, 34.2017729980261)	(180, 34.51827073281565)	(185, 34.26643281745946)	(190, 33.84470555762298)	(195, 33.85562695120292)	(200, 33.60254133406417)	(205, 33.54741057976999)	(210, 33.38908373491421)	(215, 33.41293627893253)	(220, 33.207152532353646)	(225, 33.35030894759616)	(230, 33.132429397790716)	(235, 32.78565380902471)	(240, 33.4597280154416)	(245, 32.82606277981986)	(250, 31.75796673340981)
16s-A01_S56_L001_R2_001	(1, 25.895305160466066)	(2, 35.11217441023831)	(3, 35.68321254948308)	(4, 34.39970563211127)	(5, 35.11145216932172)	(6, 35.81456190890463)	(7, 34.8305031885295)	(8, 34.767293429522695)	(9, 34.72645398860282)	(10, 35.14279250073181)	(15, 35.406055607079054)	(20, 35.10315077599862)	(25, 35.19487810816652)	(30, 35.5410818293487)	(35, 34.97233902734564)	(40, 34.948886733222785)	(45, 35.18840425755134)	(50, 35.21327312577052)	(55, 34.71095349179948)	(60, 34.55716937184105)	(65, 34.62684815883298)	(70, 34.639811639897935)	(75, 34.8921864739517)	(80, 34.795799026953745)	(85, 34.72906228365687)	(90, 34.56629150846665)	(95, 34.4068037867623)	(100, 34.412718989637554)	(105, 34.35477887866972)	(110, 34.38256258899579)	(115, 34.501067616249415)	(120, 33.98834504535883)	(125, 33.441947432204664)	(130, 34.11925913460023)	(135, 33.76352256370052)	(140, 34.06488407302525)	(145, 33.64416555922254)	(150, 34.00105489932386)	(155, 33.26003095882188)	(160, 33.89120630480659)	(165, 33.663839416605796)	(170, 33.223039721175795)	(175, 33.35890381942697)	(180, 33.195840719599595)	(185, 33.09212987819528)	(190, 33.05044673772734)	(195, 33.44959309318157)	(200, 33.28961062527678)	(205, 32.96301152043065)	(210, 33.0027112346061)	(215, 32.36039847973375)	(220, 33.05828174349587)	(225, 32.461775202959956)	(230, 33.30849311180347)	(235, 32.32736078661892)	(240, 31.96106951594419)	(245, 32.433719940372754)	(250, 25.77291466118698)
16s-A02_S64_L001_R1_001	(1, 35.654890884122125)	(2, 35.05283902186283)	(3, 35.42719946707623)	(4, 35.19710910001705)	(5, 35.48413454739149)	(6, 35.549803656184864)	(7, 35.44720261280683)	(8, 35.61428055951709)	(9, 35.10675525819443)	(10, 35.859490523817016)	(15, 35.5576743270053)	(20, 35.51819197151396)	(25, 35.70394762755079)	(30, 35.839707314881025)	(35, 35.685723198621176)	(40, 35.46985845137651)	(45, 35.8637777186793)	(50, 35.71072852020715)	(55, 35.48357298405811)	(60, 36.01288502286623)	(65, 35.265733884787075)	(70, 35.29049694365408)	(75, 35.25187584358311)	(80, 34.94574414470254)	(85, 35.11731964417227)	(90, 35.27594432621221)	(95, 35.02752822009555)	(100, 34.55213974957396)	(105, 34.85934403626941)	(110, 34.92521499479854)	(115, 34.646401823548956)	(120, 34.54269608497624)	(125, 34.59671009085955)	(130, 34.095862912014674)	(135, 33.99205612249754)	(140, 34.3797861114434)	(145, 34.55315526819257)	(150, 34.41409136959162)	(155, 34.231161920452436)	(160, 34.24747343176908)	(165, 34.127305821561286)	(170, 34.028958811786325)	(175, 34.08376763181245)	(180, 34.37392044018931)	(185, 34.15038592575057)	(190, 33.685539420776635)	(195, 33.62208117865057)	(200, 33.64508730573376)	(205, 33.437819609515444)	(210, 33.225230433864354)	(215, 33.38025669883822)	(220, 32.895483775498874)	(225, 33.166682732328184)	(230, 33.0361197909635)	(235, 32.51285106943366)	(240, 33.500223465867684)	(245, 32.557628250075325)	(250, 31.83001384118133)
16s-A02_S64_L001_R2_001	(1, 25.734310007785023)	(2, 34.567931259177804)	(3, 35.54162872184207)	(4, 33.78620266699798)	(5, 34.99158054458148)	(6, 35.83465749205968)	(7, 34.75866430692814)	(8, 34.733424444970204)	(9, 34.71030200335456)	(10, 34.877296416378414)	(15, 35.11494658205797)	(20, 34.97120519812155)	(25, 34.97814695320132)	(30, 35.48232562012528)	(35, 34.71843277312333)	(40, 34.77747428502504)	(45, 35.09896506826868)	(50, 35.12649824051294)	(55, 34.556236934903595)	(60, 34.430275856954964)	(65, 34.52421152841776)	(70, 34.486772824425636)	(75, 34.801228902843704)	(80, 34.72911604684426)	(85, 34.647702737266236)	(90, 34.40642029940726)	(95, 34.25693415322187)	(100, 34.27230134853027)	(105, 34.23928228606995)	(110, 34.25841564321412)	(115, 34.3543857503439)	(120, 33.882807468895855)	(125, 33.37787508537989)	(130, 34.01356462137301)	(135, 33.697601776700346)	(140, 33.98320843962681)	(145, 33.48632739953133)	(150, 33.88836870352785)	(155, 33.019634056805955)	(160, 33.82951017568628)	(165, 33.52614324746786)	(170, 33.015598274315316)	(175, 33.163903236466595)	(180, 32.98255557825365)	(185, 32.90148244791584)	(190, 32.86327328081542)	(195, 33.28896839031683)	(200, 33.23027343211248)	(205, 32.914370266176704)	(210, 32.93012331957235)	(215, 32.02805088096041)	(220, 32.835135732059186)	(225, 32.52733528761428)	(230, 33.16609401384285)	(235, 32.252431062429636)	(240, 31.8163748925287)	(245, 32.342821593953715)	(250, 25.505472899874515)
16s-A03_S72_L001_R1_001	(1, 35.47313119685719)	(2, 35.09877381840734)	(3, 35.66348994950492)	(4, 35.680225716462374)	(5, 35.84315516724055)	(6, 35.76636516854559)	(7, 35.45709256761957)	(8, 35.50950840078838)	(9, 35.13286217977676)	(10, 35.93995870713858)	(15, 35.64219702115841)	(20, 35.58873760070851)	(25, 35.84735539411705)	(30, 35.99146011870304)	(35, 35.83387547023985)	(40, 35.688736091823564)	(45, 35.99269467914246)	(50, 35.86965810036395)	(55, 35.73959823420206)	(60, 36.21977986576421)	(65, 35.4728410887537)	(70, 35.570863983890334)	(75, 35.46234143987301)	(80, 35.228937265792155)	(85, 35.251202126174476)	(90, 35.49010743801746)	(95, 35.39727827453976)	(100, 34.9960152497157)	(105, 35.15864449608212)	(110, 34.95248361953944)	(115, 34.958337886077665)	(120, 34.85573418812294)	(125, 34.74301435918726)	(130, 34.52402063238318)	(135, 34.488312930813876)	(140, 34.78479691004904)	(145, 34.930468649648894)	(150, 34.80398879058056)	(155, 34.615990979155775)	(160, 34.84988182251037)	(165, 34.25334089883272)	(170, 33.993342665585565)	(175, 34.41392217110178)	(180, 34.70085912683234)	(185, 34.468693514291274)	(190, 34.220225874123955)	(195, 34.14604877478522)	(200, 33.99434638796796)	(205, 33.8860660881675)	(210, 33.71205657295438)	(215, 33.811916473134964)	(220, 33.535118105310985)	(225, 33.24950307239451)	(230, 33.470905240484605)	(235, 32.79621446353407)	(240, 33.88077298222051)	(245, 33.213130713764315)	(250, 31.738199969359847)
16s-A03_S72_L001_R2_001	(1, 25.9254966130261)	(2, 35.29936320652119)	(3, 35.6814247933405)	(4, 34.89809631208569)	(5, 35.32682150931989)	(6, 35.82447522261002)	(7, 35.02047800223753)	(8, 34.96014937709351)	(9, 34.82292590374146)	(10, 35.24592698681462)	(15, 35.52384021380377)	(20, 35.219784880030964)	(25, 35.343344454074234)	(30, 35.62695658672449)	(35, 35.14737216668938)	(40, 35.145383363835926)	(45, 35.36298701065758)	(50, 35.30005891459648)	(55, 34.938335884734435)	(60, 34.83109199646234)	(65, 34.791934079793876)	(70, 34.77025164582422)	(75, 35.02167304774923)	(80, 34.86401750765448)	(85, 34.684924893611964)	(90, 34.65422809300443)	(95, 34.54952768810338)	(100, 34.612803562833996)	(105, 34.49811648620447)	(110, 34.49021359634736)	(115, 34.61142396316028)	(120, 33.92526782234125)	(125, 33.35754311166101)	(130, 34.16859751031035)	(135, 33.84966193358933)	(140, 34.270033824665894)	(145, 33.7215828200098)	(150, 34.12448569217055)	(155, 33.577881426392516)	(160, 33.86559201443618)	(165, 33.77530336203979)	(170, 33.235186772666495)	(175, 33.36120671488364)	(180, 33.31552732815156)	(185, 33.04503161304261)	(190, 33.20793959528216)	(195, 33.641705203673936)	(200, 33.32444549126916)	(205, 33.061000516645755)	(210, 33.11240291711356)	(215, 32.53810277180524)	(220, 33.078273267361865)	(225, 32.57021580272404)	(230, 33.42779282055555)	(235, 32.25863689670799)	(240, 32.12143010802485)	(245, 32.51382448682339)	(250, 25.293581993505363)
16s-A04_S80_L001_R1_001	(1, 35.51040550106178)	(2, 35.4699716857114)	(3, 35.443119880675496)	(4, 35.264010516735766)	(5, 35.65923248053392)	(6, 35.459659722924464)	(7, 35.424390737182726)	(8, 35.3375796339367)	(9, 35.19969157649914)	(10, 35.92630498533725)	(15, 35.60534887248458)	(20, 35.465632015370616)	(25, 35.76361108302154)	(30, 35.87964202649408)	(35, 35.75530222004149)	(40, 35.64868239474542)	(45, 35.992550288148955)	(50, 35.79523190098722)	(55, 35.53769847749096)	(60, 36.084454610399106)	(65, 35.371894351441604)	(70, 35.50498203668813)	(75, 35.32366561252491)	(80, 34.82988353944397)	(85, 35.12037809567853)	(90, 35.277910725866164)	(95, 34.90520651482918)	(100, 34.67063087583342)	(105, 34.979807803930285)	(110, 34.739083045146)	(115, 34.58898518835602)	(120, 34.585560743305834)	(125, 34.49583417402426)	(130, 34.32611654522275)	(135, 33.99179518141836)	(140, 34.15606815815641)	(145, 34.4482524488339)	(150, 34.50432161071673)	(155, 34.04292500803125)	(160, 34.16541387070136)	(165, 34.25355791393049)	(170, 34.09867960427136)	(175, 34.155958216172635)	(180, 34.349146703504566)	(185, 34.26122724246347)	(190, 33.88528796144702)	(195, 33.87175416579314)	(200, 33.45160590205566)	(205, 33.585502012187085)	(210, 33.555890364132594)	(215, 33.04451683719009)	(220, 33.306440523225966)	(225, 33.2130174564932)	(230, 33.17596149084202)	(235, 32.64627594952548)	(240, 33.18417696116453)	(245, 32.829413475646106)	(250, 31.646684198299575)
16s-A04_S80_L001_R2_001	(1, 25.867252755587018)	(2, 35.119260036404086)	(3, 35.75358352715138)	(4, 34.5364483264233)	(5, 35.153854029730006)	(6, 35.918506674082316)	(7, 34.84729623824452)	(8, 34.80417256547679)	(9, 34.92635630498534)	(10, 35.29450348872485)	(15, 35.569132369299226)	(20, 35.29834740620892)	(25, 35.29441222570533)	(30, 35.68654186469815)	(35, 35.08136000602083)	(40, 35.07464310765552)	(45, 35.31969921855355)	(50, 35.353806528439)	(55, 34.81595774363966)	(60, 34.62641345272523)	(65, 34.562461566741845)	(70, 34.74901604626037)	(75, 34.93199427855599)	(80, 34.809688174857534)	(85, 34.36698193678543)	(90, 34.15182002515333)	(95, 33.75636192812304)	(100, 34.211577151516074)	(105, 34.33824422492264)	(110, 34.292128675776624)	(115, 34.480893903810106)	(120, 33.55418201022367)	(125, 32.991974517419145)	(130, 33.92001621279048)	(135, 33.3459422766456)	(140, 33.6362513361021)	(145, 33.1030758954191)	(150, 33.67993819477215)	(155, 33.39889953690359)	(160, 33.774106266775306)	(165, 33.61663070888327)	(170, 32.92436127496437)	(175, 33.279594672766336)	(180, 32.98672511399747)	(185, 32.80243463710012)	(190, 33.07099411258746)	(195, 33.255821341405756)	(200, 32.73845164118919)	(205, 32.91309284674952)	(210, 32.92687604134987)	(215, 32.077112525633844)	(220, 32.94689463896539)	(225, 32.405706986003615)	(230, 33.38766961204496)	(235, 32.262351982844095)	(240, 31.802964105318644)	(245, 32.37074093924673)	(250, 25.226364567460966)
16s-A05_S88_L001_R1_001	(1, 35.596049955937026)	(2, 35.43393483562436)	(3, 35.44868555637741)	(4, 35.5916692909157)	(5, 35.81490866392768)	(6, 35.646915225770854)	(7, 35.63110870249804)	(8, 35.36340112439917)	(9, 35.23147097092332)	(10, 35.87235555034774)	(15, 35.63527430115638)	(20, 35.65852343881595)	(25, 35.899699004738295)	(30, 36.066713292858864)	(35, 35.76155681669047)	(40, 35.59025551296166)	(45, 35.779562529538126)	(50, 35.78651583418254)	(55, 35.63791452262601)	(60, 36.15842817385982)	(65, 35.16532456320285)	(70, 35.23423930969977)	(75, 35.380292978899334)	(80, 35.15387904510535)	(85, 35.21229766756545)	(90, 35.334461027228414)	(95, 35.489054203907585)	(100, 34.96338266544326)	(105, 35.20871045212963)	(110, 34.736918400339945)	(115, 34.88238435135129)	(120, 34.82598917559041)	(125, 34.803036562795505)	(130, 34.71115808323985)	(135, 34.24904501218671)	(140, 34.69433920923961)	(145, 34.83969440004999)	(150, 34.648461792510034)	(155, 34.563925890245486)	(160, 34.55739288916469)	(165, 34.39806148257165)	(170, 34.57606279887525)	(175, 34.42243258445744)	(180, 34.70960272510874)	(185, 34.75181442704316)	(190, 34.13485457738092)	(195, 34.03391229812814)	(200, 33.95913729082892)	(205, 33.77389215437982)	(210, 33.87207089924532)	(215, 33.61729189590477)	(220, 33.51438341610755)	(225, 33.255296685591716)	(230, 33.97907607625258)	(235, 32.68439610894471)	(240, 33.66647564488803)	(245, 33.24874590393971)	(250, 31.68638652876109)
16s-A05_S88_L001_R2_001	(1, 25.836176066360544)	(2, 35.102169948808836)	(3, 35.65988633950215)	(4, 34.62510222365437)	(5, 35.02698338301098)	(6, 35.80562858698226)	(7, 34.85503038025979)	(8, 34.84101322865631)	(9, 34.85346315432293)	(10, 35.18055516903826)	(15, 35.41368002714572)	(20, 35.2273632278019)	(25, 35.297285427972305)	(30, 35.55471937623431)	(35, 35.014424271685726)	(40, 35.096703894748515)	(45, 35.34229050425971)	(50, 35.27983192248597)	(55, 34.88940416580736)	(60, 34.77569540350332)	(65, 34.567341331580316)	(70, 34.76617920748324)	(75, 35.07093596521018)	(80, 34.9857333120151)	(85, 34.34707599115171)	(90, 34.36566888354958)	(95, 34.62637922840667)	(100, 34.5906329822827)	(105, 34.49192772333631)	(110, 34.584545054811066)	(115, 34.72781821596301)	(120, 34.12037819501799)	(125, 33.7156877993413)	(130, 34.22995627818816)	(135, 33.92004662435229)	(140, 34.269152416451405)	(145, 33.80108374371488)	(150, 34.243552488309874)	(155, 33.58094942123759)	(160, 33.846685323466644)	(165, 33.79897173397621)	(170, 33.34393894309268)	(175, 33.30663273140626)	(180, 33.28755796290982)	(185, 33.14092393345526)	(190, 33.18537393658451)	(195, 33.63060552291863)	(200, 33.703682305364325)	(205, 33.264408160970824)	(210, 33.15063783516844)	(215, 32.59787114933595)	(220, 32.845649981063254)	(225, 32.811391186935104)	(230, 33.477777592455034)	(235, 32.416046689335005)	(240, 32.6816999033034)	(245, 32.79976938127612)	(250, 25.038404210399356)
