Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
16s-A01_S56_L001_R1_001	(1.0, 4.653939906272826)	(2.0, 1.6184762358116593)	(3.0, 1.0058025491821443)	(4.0, 0.7211466121703066)	(5.0, 0.5820331628954201)	(6.0, 0.5203417512700771)	(7.0, 0.41843465224373444)	(8.0, 0.3665919803900648)	(9.0, 0.2954621931502015)	('>10', 4.3490393375081045)	('>50', 2.442487463374999)	('>100', 12.698034902839447)	('>500', 9.547122116165886)	('>1k', 34.787937482388536)	('>5k', 18.90698138861759)	('>10k+', 7.0861682657189995)
16s-A01_S56_L001_R2_001	(1.0, 6.191300827020565)	(2.0, 1.4975555975038917)	(3.0, 0.8954145909079718)	(4.0, 0.602961734910226)	(5.0, 0.4746545417737033)	(6.0, 0.3882044926667925)	(7.0, 0.3293856301415209)	(8.0, 0.280141931283154)	(9.0, 0.2831512684356097)	('>10', 5.626639746777958)	('>50', 3.910086477406717)	('>100', 16.041955631427328)	('>500', 11.582254759540282)	('>1k', 39.94224808428333)	('>5k', 11.954044685920953)	('>10k+', 0.0)
16s-A02_S64_L001_R1_001	(1.0, 4.367807280383727)	(2.0, 1.4523230163062515)	(3.0, 0.9131870877011186)	(4.0, 0.6613964664721953)	(5.0, 0.5121725234971537)	(6.0, 0.431414481727667)	(7.0, 0.36638509293783483)	(8.0, 0.3182739191177151)	(9.0, 0.30928611741505535)	('>10', 4.542276372258885)	('>50', 2.7461699408258995)	('>100', 10.638649397751198)	('>500', 9.267216596768884)	('>1k', 32.93791411626779)	('>5k', 11.880419941817202)	('>10k+', 18.655107648751425)
16s-A02_S64_L001_R2_001	(1.0, 6.124129471926998)	(2.0, 1.2966225691631168)	(3.0, 0.7847143927748648)	(4.0, 0.5397967963773872)	(5.0, 0.4355118619156442)	(6.0, 0.3703502995713612)	(7.0, 0.3201243488800274)	(8.0, 0.236855009575974)	(9.0, 0.26646188577297075)	('>10', 6.075225256780173)	('>50', 4.801600886091509)	('>100', 11.270967682244201)	('>500', 13.322829941539638)	('>1k', 25.5359307199097)	('>5k', 6.832844070892607)	('>10k+', 21.786034806583828)
16s-A03_S72_L001_R1_001	(1.0, 3.2334920576493857)	(2.0, 1.1263514711836728)	(3.0, 0.7197807529756626)	(4.0, 0.5728798926519454)	(5.0, 0.47126509860873617)	(6.0, 0.40088207441415336)	(7.0, 0.32324881793328225)	(8.0, 0.3025019993909805)	(9.0, 0.25297733577387305)	('>10', 4.03425232816113)	('>50', 1.871340724108584)	('>100', 6.767143731951104)	('>500', 5.989249578649962)	('>1k', 26.267033863046457)	('>5k', 14.651604030236815)	('>10k+', 33.015996243264254)
16s-A03_S72_L001_R2_001	(1.0, 4.975778647062039)	(2.0, 1.1767684710821698)	(3.0, 0.7248001445584776)	(4.0, 0.5157703706430287)	(5.0, 0.42553286418753344)	(6.0, 0.3352953577320381)	(7.0, 0.27327798617548016)	(8.0, 0.2409307959751172)	(9.0, 0.20278341994572363)	('>10', 3.868612405928236)	('>50', 2.519623032537927)	('>100', 10.70056206031524)	('>500', 8.916893375853158)	('>1k', 31.192841678350696)	('>5k', 19.22382359404053)	('>10k+', 14.706705795612606)
16s-A04_S80_L001_R1_001	(1.0, 3.417686318131257)	(2.0, 1.1409141470320558)	(3.0, 0.7606937000707857)	(4.0, 0.599656183638386)	(5.0, 0.5094043887147335)	(6.0, 0.3943775912630195)	(7.0, 0.37427950247750025)	(8.0, 0.3256143189402366)	(9.0, 0.3151228637880473)	('>10', 3.8887905753867935)	('>50', 1.426837900697745)	('>100', 5.479446860147639)	('>500', 5.457199919102033)	('>1k', 24.349276974416018)	('>5k', 19.830114268379006)	('>10k+', 31.730584487814745)
16s-A04_S80_L001_R2_001	(1.0, 4.786631610880777)	(2.0, 1.1201840428759227)	(3.0, 0.7345282637273739)	(4.0, 0.5202750530892911)	(5.0, 0.396273637374861)	(6.0, 0.3124683992314693)	(7.0, 0.27871877844069165)	(8.0, 0.229547982606937)	(9.0, 0.21046111841439985)	('>10', 2.770628981696835)	('>50', 2.1843715239154617)	('>100', 8.63876529477197)	('>500', 6.683436141166952)	('>1k', 36.22118009910001)	('>5k', 24.20896956213975)	('>10k+', 10.703559510567297)
16s-A05_S88_L001_R1_001	(1.0, 2.2153544200897857)	(2.0, 0.7164810163045203)	(3.0, 0.47236482676294606)	(4.0, 0.3730095376195254)	(5.0, 0.3570199272045523)	(6.0, 0.2944041245871385)	(7.0, 0.2956247055348464)	(8.0, 0.2636454847049002)	(9.0, 0.20322672779336054)	('>10', 3.9993555332596102)	('>50', 1.6302079137586325)	('>100', 3.242107113301647)	('>500', 2.2694261560732447)	('>1k', 13.965276913199606)	('>5k', 9.345622142314856)	('>10k+', 60.35687345749082)
16s-A05_S88_L001_R2_001	(1.0, 3.810531660649202)	(2.0, 0.8495243396046782)	(3.0, 0.6459314375270053)	(4.0, 0.5150851599327216)	(5.0, 0.4149975222206762)	(6.0, 0.3661742843123613)	(7.0, 0.32040249877331617)	(8.0, 0.2841512446263924)	(9.0, 0.22849275341091346)	('>10', 2.6696546488266555)	('>50', 0.8696639252418582)	('>100', 3.344757971003879)	('>500', 2.987493927609785)	('>1k', 17.389006471520187)	('>5k', 40.65962635576029)	('>10k+', 24.64450579898008)
