Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
its-A01_S152_L001_R1_001	(1, 34.613634798111796)	(2, 35.20411947837949)	(3, 35.076172531858425)	(4, 35.586205825347626)	(5, 35.35760043761016)	(6, 36.03328403465765)	(7, 36.41804061400487)	(8, 36.16330827880089)	(9, 35.15913882642139)	(10, 36.08605063581785)	(15, 36.02131188503279)	(20, 36.033312938538735)	(25, 35.78069085678397)	(30, 35.49096537612188)	(35, 35.47638291233521)	(40, 35.44831904599123)	(45, 35.247697412757525)	(50, 35.414101472439455)	(55, 35.3945553024407)	(60, 35.63041021178377)	(65, 35.59322442605513)	(70, 35.57922254676611)	(75, 35.032935628019494)	(80, 35.00980116538164)	(85, 34.67001354245444)	(90, 34.160503717871784)	(95, 34.46800045457743)	(100, 34.42068922597369)	(105, 34.59222123713835)	(110, 34.316412838041686)	(115, 34.043463614139)	(120, 33.90349768043434)	(125, 34.12912316494554)	(130, 33.796256842301794)	(135, 33.49456710117771)	(140, 34.22058730019144)	(145, 33.69063102015503)	(150, 33.98453806480991)	(155, 33.30029545736723)	(160, 33.553744288963244)	(165, 33.50558191163842)	(170, 32.937792432057385)	(175, 33.0940268853234)	(180, 33.2768612244026)	(185, 33.257372905893405)	(190, 32.94908539495819)	(195, 32.69876334411235)	(200, 33.04899323783148)	(205, 32.639377400505566)	(210, 32.83075205762848)	(215, 32.64730521516302)	(220, 31.99287096083749)	(225, 31.423868217064847)	(230, 31.310750791357368)	(235, 31.264391970233778)	(240, 31.130830011638302)	(245, 30.485083365105975)	(250, 29.243046587904207)
its-A01_S152_L001_R2_001	(1, 23.05369368639289)	(2, 35.22457100022286)	(3, 36.02600133714216)	(4, 35.517374068896586)	(5, 35.882338242941174)	(6, 36.05999176104324)	(7, 35.56144303301661)	(8, 35.30362311500098)	(9, 33.79866015654018)	(10, 34.59071158924073)	(15, 35.311828305543735)	(20, 35.372519972716894)	(25, 35.20064506979477)	(30, 35.263875956428066)	(35, 35.077289484804815)	(40, 35.226557879913585)	(45, 35.22541819322432)	(50, 35.011921581569084)	(55, 34.977885724141615)	(60, 34.20308162325274)	(65, 34.16500165995808)	(70, 34.29066367952033)	(75, 34.613955709602834)	(80, 34.13289480772748)	(85, 34.5446178530939)	(90, 34.149307390599255)	(95, 34.35113169308862)	(100, 34.299535146748056)	(105, 34.025601833437506)	(110, 34.15320242762711)	(115, 34.502425733063845)	(120, 34.03588894390644)	(125, 33.835285554644614)	(130, 33.77452793750332)	(135, 33.90349858487248)	(140, 33.884691729486065)	(145, 33.76211005961739)	(150, 33.59074476356069)	(155, 33.4624673922692)	(160, 33.40928742474464)	(165, 33.619732664284435)	(170, 33.422265998122086)	(175, 33.23948690354672)	(180, 33.396996794340986)	(185, 33.40669264385545)	(190, 32.6213413573362)	(195, 33.11617933487472)	(200, 32.554008759105145)	(205, 32.449427137432984)	(210, 32.75383162446589)	(215, 32.406922840491134)	(220, 32.393721042823174)	(225, 32.0881412023236)	(230, 31.960036529639876)	(235, 31.312526484906122)	(240, 30.59816401255594)	(245, 30.29692088449035)	(250, 30.311747608755663)
its-A02_S160_L001_R1_001	(1, 33.105993244987225)	(2, 34.35726619360413)	(3, 34.8942786670513)	(4, 35.57109947701791)	(5, 35.890117170624116)	(6, 36.03754318501475)	(7, 36.04787308195042)	(8, 36.31741934771477)	(9, 35.40233181826338)	(10, 36.0327834821028)	(15, 36.06491547952447)	(20, 36.08063779246073)	(25, 35.70946764591808)	(30, 35.716519139432904)	(35, 35.546890454661906)	(40, 35.50613625438597)	(45, 35.388259678655174)	(50, 35.532853637270556)	(55, 35.556512225709305)	(60, 35.74418230488634)	(65, 35.62795449971897)	(70, 35.527110663454195)	(75, 35.09212573961624)	(80, 34.93326912103079)	(85, 34.76718397827374)	(90, 34.30176847891992)	(95, 34.379001769355725)	(100, 34.472403940312745)	(105, 34.57939321154366)	(110, 34.313300446321776)	(115, 34.12056797202583)	(120, 33.831456906774676)	(125, 34.08438503735465)	(130, 33.734835359963775)	(135, 33.44984610348448)	(140, 34.100569673717196)	(145, 33.54656219180818)	(150, 33.89987306634918)	(155, 33.17487931932722)	(160, 33.57240343163762)	(165, 33.28354738421099)	(170, 32.95101906828776)	(175, 33.04971189072709)	(180, 33.34965951856799)	(185, 33.310306689055075)	(190, 33.39845904798697)	(195, 32.49326870789822)	(200, 33.149780534356616)	(205, 32.175322671934474)	(210, 33.11606310141276)	(215, 32.648296519211215)	(220, 32.251199155837185)	(225, 31.561357806264162)	(230, 31.339605925919024)	(235, 31.44319021589854)	(240, 31.38526098156031)	(245, 30.50314020276336)	(250, 29.150715721127703)
its-A02_S160_L001_R2_001	(1, 25.26430540276798)	(2, 35.1721575875191)	(3, 35.96419594782049)	(4, 35.64536873066768)	(5, 35.855980477543795)	(6, 36.06245419248336)	(7, 35.629147866318654)	(8, 35.50666874626466)	(9, 34.40153540584597)	(10, 34.86567103612289)	(15, 35.36351326916945)	(20, 35.37912129623367)	(25, 35.27404261427552)	(30, 35.32589941462997)	(35, 35.18574767438899)	(40, 35.275404186122465)	(45, 35.3211017902956)	(50, 35.13278832094004)	(55, 35.06410842368535)	(60, 34.22153486836813)	(65, 34.142344078475084)	(70, 34.3724239791232)	(75, 34.67923075429462)	(80, 34.19388822345165)	(85, 34.66087791103276)	(90, 34.12438467124399)	(95, 34.51127073616528)	(100, 34.50965331291714)	(105, 34.27041844837284)	(110, 34.362419019209675)	(115, 34.52994345267403)	(120, 34.117758810479415)	(125, 33.94604457264067)	(130, 33.993496449068424)	(135, 34.09347160388467)	(140, 33.97878705919068)	(145, 33.856118450709104)	(150, 33.783385494430824)	(155, 33.61723522360394)	(160, 33.67696992915963)	(165, 33.734204055560724)	(170, 33.59460423816837)	(175, 33.46762899467067)	(180, 33.372447772249416)	(185, 33.430228551256235)	(190, 32.922591937776936)	(195, 33.4134824254031)	(200, 32.7733931154875)	(205, 32.567011424734915)	(210, 32.8855613943371)	(215, 32.574341668765314)	(220, 32.483115801895885)	(225, 32.39168059165671)	(230, 32.06464656857065)	(235, 31.472910906732004)	(240, 30.85250390377243)	(245, 31.036758573244988)	(250, 31.392139746473013)
its-A03_S168_L001_R1_001	(1, 34.417851342744044)	(2, 34.77581860199886)	(3, 34.89276889062297)	(4, 35.393806003248066)	(5, 35.531838690636974)	(6, 35.98818491951539)	(7, 36.18586992406735)	(8, 36.472129682430115)	(9, 35.359687999172976)	(10, 36.06551783933758)	(15, 36.00750122552698)	(20, 35.98374334297081)	(25, 35.61558870314235)	(30, 35.57246916173955)	(35, 35.53947721462648)	(40, 35.45010947657154)	(45, 35.28723671311947)	(50, 35.38740017269214)	(55, 35.40623598774896)	(60, 35.63941462697308)	(65, 35.53235134667899)	(70, 35.41000676931786)	(75, 34.92427193745656)	(80, 34.66236304853168)	(85, 34.57074535579292)	(90, 33.99496777716273)	(95, 34.13622888716941)	(100, 34.18584494122899)	(105, 34.38315200076054)	(110, 34.07950451924771)	(115, 33.97588089663218)	(120, 33.64108764067574)	(125, 33.8892586598203)	(130, 33.71645217944365)	(135, 33.318510084508986)	(140, 33.69388562371485)	(145, 33.22068923835376)	(150, 33.850865855709614)	(155, 32.82118102821731)	(160, 33.324052847038196)	(165, 32.89790094978269)	(170, 32.61955649561028)	(175, 32.77914664020915)	(180, 33.13960564571905)	(185, 32.979485747317234)	(190, 33.375598187996026)	(195, 32.30030083244817)	(200, 33.00511968730137)	(205, 31.932708556140057)	(210, 33.1029218796863)	(215, 32.63876429728215)	(220, 32.198249086600136)	(225, 31.260804203912226)	(230, 31.184665604890558)	(235, 31.310093375200523)	(240, 31.63772776999185)	(245, 30.264894126228466)	(250, 29.36171252748047)
its-A03_S168_L001_R2_001	(1, 24.91903851989689)	(2, 35.01330238669294)	(3, 35.87747398047827)	(4, 35.54758212698127)	(5, 35.737557149574315)	(6, 35.98416319017177)	(7, 35.4750409342684)	(8, 35.4653367614741)	(9, 34.53973541956375)	(10, 34.90128421888079)	(15, 35.152123079590886)	(20, 35.25079550873542)	(25, 35.144421768026916)	(30, 35.244863291215225)	(35, 34.99324053990465)	(40, 35.11086176553603)	(45, 35.027115704312735)	(50, 34.88950235122753)	(55, 34.80135601060606)	(60, 34.046535626603614)	(65, 34.13837710096375)	(70, 34.26958855461287)	(75, 34.54908903211742)	(80, 33.76747000019406)	(85, 34.48623872305071)	(90, 33.8853236262463)	(95, 34.37798463872813)	(100, 34.31392383816954)	(105, 34.011354978462556)	(110, 34.25142820696161)	(115, 34.330421530022726)	(120, 34.02465364848216)	(125, 33.88588828080501)	(130, 33.909328347557974)	(135, 33.96909612063492)	(140, 33.82310955048165)	(145, 33.59693670816336)	(150, 33.56648566810291)	(155, 33.44238018426605)	(160, 33.69877384096564)	(165, 33.66110795862687)	(170, 33.45280077084358)	(175, 33.31192066082856)	(180, 33.29318793771445)	(185, 33.1346651582438)	(190, 32.987378133268415)	(195, 33.136401805345386)	(200, 32.79768353797873)	(205, 32.416627808579804)	(210, 32.763582974753)	(215, 32.48339658842464)	(220, 32.55674855028823)	(225, 32.35853266472473)	(230, 32.05243026834406)	(235, 31.262341136806878)	(240, 30.66322444945547)	(245, 31.030112247842453)	(250, 31.688015592235523)
its-A04_S176_L001_R1_001	(1, 33.70271376064011)	(2, 34.04239514338318)	(3, 34.55982642553382)	(4, 35.48424729077787)	(5, 35.799542626133444)	(6, 35.73058430324321)	(7, 36.04254416922833)	(8, 36.04237346689662)	(9, 34.82183011866522)	(10, 35.770957572341885)	(15, 35.68569013191497)	(20, 35.8277919653393)	(25, 35.402484938228795)	(30, 35.22877282635644)	(35, 35.10318892643829)	(40, 35.203564324732746)	(45, 34.742015909254484)	(50, 35.06760172881134)	(55, 35.0980495447072)	(60, 35.28086895851489)	(65, 35.21617763636561)	(70, 35.105161694918934)	(75, 34.775955027260764)	(80, 34.67924070707634)	(85, 34.14792681900491)	(90, 33.93613039078926)	(95, 33.959101058927175)	(100, 33.84738417432594)	(105, 33.522796729691905)	(110, 33.314674170511566)	(115, 33.03285809887211)	(120, 32.42943385879252)	(125, 32.75308875251293)	(130, 32.74512501204715)	(135, 32.21773529942758)	(140, 33.03163152972285)	(145, 32.339260582498966)	(150, 32.22283347460222)	(155, 32.319227568831806)	(160, 32.90755827357095)	(165, 32.1966279768965)	(170, 31.70475795612477)	(175, 31.50670977953523)	(180, 32.32021995253315)	(185, 31.857760492728413)	(190, 31.635699496196064)	(195, 31.375144409586984)	(200, 31.61819815308787)	(205, 31.11468632455206)	(210, 31.753451646526877)	(215, 31.205345854429986)	(220, 30.16442378571516)	(225, 31.334690986456827)	(230, 30.25414286492157)	(235, 30.328641520089924)	(240, 29.96762828407315)	(245, 28.944960590688574)	(250, 27.572706696372393)
its-A04_S176_L001_R2_001	(1, 24.661429537193463)	(2, 35.817019293427826)	(3, 36.349345031410586)	(4, 35.903871555978846)	(5, 36.22723596345886)	(6, 36.38765822141718)	(7, 36.021032965871726)	(8, 35.67592975192616)	(9, 34.0551815608967)	(10, 35.051822518347116)	(15, 35.73758716318466)	(20, 35.466835111031024)	(25, 35.40346661211418)	(30, 35.72998792890654)	(35, 35.473889302981505)	(40, 35.589806864731756)	(45, 35.6656502672264)	(50, 35.561901149504635)	(55, 35.42836525522104)	(60, 34.854435775059315)	(65, 34.51178378965373)	(70, 34.618289918418874)	(75, 34.81395348083191)	(80, 34.70173180919213)	(85, 34.985836609256566)	(90, 34.72593902079036)	(95, 34.78216817817162)	(100, 34.822131635995405)	(105, 34.507913715940234)	(110, 34.375433938342546)	(115, 34.811396217911906)	(120, 34.40348263771527)	(125, 33.95414174074874)	(130, 34.160420117138884)	(135, 34.32740748382613)	(140, 34.30001846115421)	(145, 34.12115284634733)	(150, 33.9261229540801)	(155, 33.93179725253841)	(160, 34.05548093823797)	(165, 34.06888749913874)	(170, 34.129207234029664)	(175, 33.88862541985725)	(180, 33.702417955552946)	(185, 33.53485372239319)	(190, 33.56528441148462)	(195, 33.4455496037233)	(200, 33.12326916184783)	(205, 32.9164966566798)	(210, 33.132009357521255)	(215, 33.0437607272198)	(220, 32.782803724615235)	(225, 32.04826352184814)	(230, 32.59905627786204)	(235, 31.992698327791885)	(240, 31.304387564826232)	(245, 31.523129259536383)	(250, 29.867672113883998)
its-A05_S184_L001_R1_001	(1, 34.65729442364452)	(2, 33.92833466260941)	(3, 34.822203821203054)	(4, 35.41212299783083)	(5, 36.11952562624143)	(6, 35.92637503873527)	(7, 36.164377263791025)	(8, 36.25733938196282)	(9, 35.068750666754724)	(10, 35.65358193336009)	(15, 35.70151689873965)	(20, 35.85535003987828)	(25, 35.494992100544074)	(30, 35.368921609965)	(35, 35.07911255737942)	(40, 35.172619553311065)	(45, 34.6491696280044)	(50, 35.21711521347682)	(55, 35.080847620358746)	(60, 35.0711663814961)	(65, 35.2729786423517)	(70, 35.21841106134317)	(75, 35.07323333405272)	(80, 35.00816266935)	(85, 33.978891142234126)	(90, 33.599212357178274)	(95, 33.952714298974044)	(100, 34.39734997450676)	(105, 34.17744490344991)	(110, 33.57595927179516)	(115, 33.5229085980353)	(120, 33.58724217464608)	(125, 33.07623136956727)	(130, 33.12257372335517)	(135, 32.38118632236507)	(140, 33.09997229179224)	(145, 32.404881497304444)	(150, 32.91885568314432)	(155, 33.5186043584237)	(160, 33.14524303771509)	(165, 32.549098251431715)	(170, 32.46272047708841)	(175, 32.3949338529124)	(180, 32.561311380359555)	(185, 32.0888405080906)	(190, 32.41772735621568)	(195, 31.91929358795469)	(200, 32.05739611851302)	(205, 31.29671285030442)	(210, 29.402245550673676)	(215, 30.418120749133106)	(220, 27.77363436599972)	(225, 26.802432284294685)	(230, 26.625085470582782)	(235, 28.402897617238104)	(240, 30.77482398556827)	(245, 26.659505743961194)	(250, 24.29656650128949)
its-A05_S184_L001_R2_001	(1, 24.545327890921467)	(2, 35.61044633196003)	(3, 36.25117983835325)	(4, 35.800430787049976)	(5, 36.1193630650905)	(6, 36.30884078659277)	(7, 35.92839181301404)	(8, 35.79910489766267)	(9, 34.57908599992888)	(10, 35.24825043561309)	(15, 35.765772749671065)	(20, 35.67086269170786)	(25, 35.499646429496714)	(30, 35.703116348063745)	(35, 35.46878664228891)	(40, 35.62366138115296)	(45, 35.51992187643115)	(50, 35.50764955272753)	(55, 35.30039531546136)	(60, 34.961537559742)	(65, 34.55558741347348)	(70, 34.565004229451745)	(75, 34.878120599914176)	(80, 34.75249136513922)	(85, 35.16348651335949)	(90, 34.77224681565852)	(95, 34.66734436985047)	(100, 34.86188536262842)	(105, 34.46110543179738)	(110, 34.580842233750374)	(115, 34.78578323670023)	(120, 34.117420913437094)	(125, 34.22774641440342)	(130, 34.1081740427871)	(135, 33.75536206306843)	(140, 34.42178952012705)	(145, 33.85981443878349)	(150, 33.579235163404185)	(155, 33.68546158492005)	(160, 33.51837609802013)	(165, 33.82933869060486)	(170, 33.75940921508296)	(175, 33.597263312194464)	(180, 33.55522889072269)	(185, 32.75471661821011)	(190, 33.36174537088799)	(195, 32.87765800459637)	(200, 33.074734461488525)	(205, 32.19866956193586)	(210, 33.25153321337055)	(215, 32.78191406150768)	(220, 31.876227910742035)	(225, 31.436066378495788)	(230, 30.848895763390562)	(235, 31.181477260210947)	(240, 30.167034583338513)	(245, 31.270910046414876)	(250, 29.219541576033258)
