Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
its-A01_S152_L001_R1_001	96.53423556663087	53.0	250.3317422692248	251	36.36363636363637	0.740385
its-A01_S152_L001_R2_001	95.71358144749016	52.0	250.1922148611871	251	36.36363636363637	0.740385
its-A02_S160_L001_R1_001	96.1761161851155	56.0	249.7099140233458	251	36.36363636363637	0.724499
its-A02_S160_L001_R2_001	95.80855184065126	55.0	249.44602131956015	251	36.36363636363637	0.724499
its-A03_S168_L001_R1_001	95.75934318423589	55.0	248.993872365117	251	36.36363636363637	0.599742
its-A03_S168_L001_R2_001	94.61134954697187	54.0	248.73245662301457	251	36.36363636363637	0.599742
its-A04_S176_L001_R1_001	96.06788533680519	55.0	250.37770735930266	251	36.36363636363637	0.738127
its-A04_S176_L001_R2_001	97.52576453645511	54.0	249.88734188019134	251	36.36363636363637	0.738127
its-A05_S184_L001_R1_001	96.87831789849072	48.0	250.12438214062556	251	36.36363636363637	0.787396
its-A05_S184_L001_R2_001	97.66165944454886	47.0	249.68875127635903	251	36.36363636363637	0.787396
its-A06_S192_L001_R1_001	97.12756145347404	56.0	250.40018909651445	251	36.36363636363637	0.864109
its-A06_S192_L001_R2_001	97.50702746991409	55.0	249.71616196567794	251	36.36363636363637	0.864109
its-A07_S200_L001_R1_001	98.01188525399301	49.0	250.49881802094623	251	36.36363636363637	0.9623689999999999
its-A07_S200_L001_R2_001	97.81601443936785	49.0	250.0027556997368	251	36.36363636363637	0.9623689999999999
its-A08_S208_L001_R1_001	97.03823457913566	49.0	250.47270787215413	251	36.36363636363637	0.929682
its-A08_S208_L001_R2_001	98.26639646674884	50.0	249.86358776441838	251	36.36363636363637	0.929682
its-A09_S216_L001_R1_001	96.94000292550888	58.0	250.44296890865738	251	36.36363636363637	0.704151
its-A09_S216_L001_R2_001	96.88390700290137	56.0	250.4315707852435	251	36.36363636363637	0.704151
its-A10_S224_L001_R1_001	97.42664095039046	59.0	250.3372267702608	251	36.36363636363637	0.7315729999999999
