channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,reserve_pore_intercept_median_mv,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
1,1,0,0.03,0.0,False,0,sample3,PAW72062,-0.054,0.367,12,0,0,-0.06,0.366,-0.117,-0.118,-0.116,-30,-40,-50,-625.0,-0.074,0.355,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,54017
1,2,0,0.08,0.001,False,0,sample3,PAW72062,-0.082,0.351,12,0,0,-0.099,0.331,-0.093,-0.104,-0.107,-30,-40,-50,90.552,-0.062,0.364,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,54509
1,3,0,-0.22,0.002,False,0,sample3,PAW72062,-0.402,0.307,12,0,0,-0.421,0.314,-0.44,-0.445,-0.472,-30,-40,-50,204.229,-0.389,0.307,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55286
1,4,0,-0.16,0.0,False,0,sample3,PAW72062,-0.254,0.267,12,0,0,-0.283,0.259,-0.303,-0.294,-0.301,-30,-40,-50,-174.03,-0.255,0.267,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,56232
2,1,0,-0.67,0.001,False,0,sample3,PAW72062,0.037,0.493,12,0,0,0.039,0.503,-0.006,0.018,-0.025,-30,-40,-50,-39.113,0.03,0.5,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55136
2,2,0,0.94,0.001,False,0,sample3,PAW72062,0.089,0.485,12,0,0,0.102,0.474,0.136,0.076,0.11,-30,-40,-50,-55.412,0.089,0.483,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55251
2,3,0,-0.29,0.0,False,0,sample3,PAW72062,-0.771,0.487,12,0,0,-0.756,0.492,-0.769,-0.75,-0.76,-30,-40,-50,-418.432,-0.721,0.506,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55659
2,4,0,-0.1,0.002,False,0,sample3,PAW72062,-0.362,0.558,12,0,0,-0.402,0.558,-0.38,-0.394,-0.418,-30,-40,-50,164.404,-0.283,0.554,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55364
3,1,0,-0.18,0.002,False,0,sample3,PAW72062,-0.096,0.384,12,0,0,-0.056,0.374,-0.056,-0.063,-0.088,-30,-40,-50,-0.989,-0.064,0.383,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55125
3,2,1889,1.9,0.9,True,41,sample3,PAW72062,5.598,0.522,12,1,1,14.419,0.681,38.255,47.162,56.259,-30,-40,-50,12.459,4.778,0.44,0,single_pore,0,12111,8120,214.49,0.96,0,12.658,1,13,-177,6,30019,0,101.53,57.1,44060,0.0,0,0,0,0,162,336
3,3,0,-0.06,0.01,False,0,sample3,PAW72062,-1.634,0.349,12,0,0,-1.627,0.344,-1.29,-1.183,-1.082,-30,-40,-50,-153.911,-1.655,0.357,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55272
3,4,0,,,False,0,sample3,PAW72062,1.539,1.425,12,0,0,,,,,,-30,-40,-50,,1.385,1.411,0,unavailable,0,0,32,,,0,12.658,1,13,-177,6,0,28364,,,0,0.0,0,14122,0,0,2727,0
4,1,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
4,2,0,1.82,0.001,False,0,sample3,PAW72062,2.521,0.863,12,0,0,2.462,0.934,3.785,3.703,3.803,-30,-40,-50,79.215,1.754,0.659,0,unavailable,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,31194,0,0,5000,5006
4,3,0,10.12,1.499,False,13,sample3,PAW72062,7.02,0.48,12,0,0,22.379,0.68,64.298,78.778,94.27,-30,-40,-50,12.773,5.614,0.688,0,other,0,6804,53263,170.83,1.26,0,12.658,1,13,-177,6,0,0,,,6817,0.0,0,0,0,0,0,0
4,4,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
5,1,913,4.02,0.898,True,19,sample3,PAW72062,6.221,0.514,12,1,1,15.228,0.604,39.666,48.441,57.618,-30,-40,-50,14.107,5.321,0.465,0,single_pore,0,2176,45,215.64,1.03,0,12.658,1,13,-177,6,50065,100,107.48,61.1,53173,0.0,0,0,0,0,0,0
5,2,336,2.5,0.98,True,3,sample3,PAW72062,6.486,0.545,12,2,1,16.325,0.629,42.866,52.546,62.476,-30,-40,-50,13.673,5.624,0.601,0,single_pore,0,5286,216,230.85,1.01,0,12.658,1,13,-177,6,43796,0,121.72,61.6,49421,0.0,0,5076,0,0,809,0
5,3,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
5,4,0,0.18,0.002,False,0,sample3,PAW72062,-0.202,0.442,12,0,0,-0.213,0.434,-0.194,-0.218,-0.224,-30,-40,-50,86.19,-0.174,0.438,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55156
6,1,2163,-0.47,0.919,True,123,sample3,PAW72062,5.364,0.443,12,1,1,14.279,0.537,38.589,47.804,56.972,-30,-40,-50,11.992,4.531,0.461,0,single_pore,0,16136,311,215.71,1.0,0,12.658,1,13,-177,6,20017,0,109.51,60.6,38439,0.0,0,11503,0,0,6453,0
6,2,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
6,3,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
6,4,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
7,1,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
7,2,0,9.43,1.816,False,0,sample3,PAW72062,11.664,0.594,12,0,0,29.625,0.77,78.088,95.774,114.403,-30,-40,-50,12.907,10.123,0.713,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
7,3,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
7,4,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
8,1,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
8,2,0,4.01,0.904,True,0,sample3,PAW72062,6.043,0.531,12,1,1,14.944,0.732,38.974,47.814,57.055,-30,-40,-50,13.028,5.399,0.581,0,single_pore,0,395,0,211.83,0.94,0,12.658,1,13,-177,6,60052,0,107.66,60.1,60447,0.0,0,0,0,0,150,0
