Instrument Name,A00618
Date,2024-01-19_16-08-06
Surface,Bottom
FTM LaserMode,CW
FTM Laser Operating Power (mW),0.500
FTM Laser Pulse Duration (us),NA
FTM Exposure Time (us),250.000
FTM Laser Energy (mJ),0.000
Green Laser Power (mW),600
Red Laser Power (mW),500
Imaging Mode,TDI
TDI Exposure (ms),NA
Scan Velocity (mm/s),12.000

[FocusModel Input Green]
Z Position [um],Valid,Spot Separation,Brenner Score,Within Peak,Left Spot Centroid,Left Spot Peak Intensity,Left Spot Pct Saturation,Right Spot Centroid,Right Spot Peak Intensity,Right Spot Pct Saturation
362.869, True, 902.392, 4.321,FALSE,533.602783203125,75,0,1435.99487304688,127,0
363.027, True, 899.903, 4.319,FALSE,534.921630859375,75,0,1434.82421875,128,0
363.274, True, 895.749, 4.329,FALSE,537.116455078125,73,0,1432.865234375,126,0
363.463, True, 892.481, 4.358,FALSE,538.84765625,72,0,1431.3291015625,125,0
363.654, True, 889.048, 4.374,FALSE,540.658935546875,73,0,1429.70727539063,125,0
363.841, True, 885.774, 4.391,FALSE,542.4130859375,72,0,1428.18701171875,122,0
364.054, True, 882.505, 4.409,FALSE,544.10546875,72,0,1426.61010742188,123,0
364.262, True, 879.049, 4.436,FALSE,545.941162109375,72,0,1424.990234375,124,0
364.429, True, 876.089, 4.476,FALSE,547.501953125,72,0,1423.59057617188,123,0
364.678, True, 871.790, 4.504,FALSE,549.775390625,71,0,1421.5654296875,123,0
364.859, True, 868.596, 4.551,FALSE,551.42919921875,70,0,1420.025390625,122,0
365.046, True, 865.383, 4.615,FALSE,553.11572265625,71,0,1418.49877929688,121,0
365.243, True, 862.153, 4.690,FALSE,554.78955078125,69,0,1416.9423828125,120,0
365.476, True, 858.058, 4.815,FALSE,556.95166015625,69,0,1415.01000976563,120,0
365.656, True, 854.793, 4.987,FALSE,558.69384765625,69,0,1413.48706054688,120,0
365.848, True, 851.282, 5.169,FALSE,560.49072265625,68,0,1411.77319335938,118,0
366.061, True, 847.456, 5.437,FALSE,562.556396484375,67,0,1410.01245117188,118,0
366.243, True, 844.418, 5.849,FALSE,564.165283203125,67,0,1408.5830078125,117,0
366.477, True, 840.256, 6.341,FALSE,566.37060546875,65,0,1406.626953125,117,0
366.626, True, 837.560, 6.987,FALSE,567.811767578125,65,0,1405.3720703125,118,0
366.828, True, 834.026, 7.875,FALSE,569.727294921875,65,0,1403.7529296875,117,0
367.070, True, 830.302, 8.793,FALSE,571.725830078125,65,0,1402.02758789063,116,0
367.244, True, 827.972, 10.078,FALSE,572.9580078125,64,0,1400.9296875,116,0
367.449, True, 824.474, 12.107,FALSE,574.796630859375,63,0,1399.27026367188,115,0
367.633, True, 820.934, 15.154,FALSE,576.67529296875,63,0,1397.60888671875,115,0
367.876, True, 816.608, 18.681,TRUE,579.031005859375,62,0,1395.638671875,114,0
368.051, True, 813.707, 22.394,TRUE,580.603515625,62,0,1394.31005859375,114,0
368.272, True, 810.111, 25.913,TRUE,582.524169921875,61,0,1392.63525390625,113,0
368.444, True, 807.231, 29.442,TRUE,584.108642578125,61,0,1391.33959960938,113,0
368.664, True, 803.086, 31.716,TRUE,586.377197265625,60,0,1389.462890625,112,0
