SampleNumber	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90
SampleName	None	CT304_1434281_TP53_CAPPSEQ	RMGEM162_71300511_TP53_CAPPSEQ	RMGEM18_1738932_TP53_CAPPSEQ	RM576_1328892_TP53_CAPPSEQ	RMPTV275_71018943_CD19_CAPPSEQ	RMPTV275_75749577_risortato_CD19_CAPPSEQ	RMPTV275_71018943_CD3_CAPPSEQ	RMPTV275_75749577_risortato_CD3_CAPPSEQ	UD76_1575916_CD19_CAPPSEQ	TS399_73474005_CD19_CAPPSEQ	RMGEM336_74329796_CD19_CAPPSEQ	CRO103_1508198_rifatto_CD19_CAPPSEQ	RMPTV238_1693390_rifatto_CD19_CAPPSEQ	RMPTV238_75720908_rifatto_CD19_CAPPSEQ	RMGEM353_74554258_CD19_CAPPSEQ	CT225_737450_CD19_CAPPSEQ	CT421_1741622_CD19_CAPPSEQ	RM682_1180273_CD19_CAPPSEQ	RMSA98_74333761_CD19_CAPPSEQ	CT515_71596181_CD19_CAPPSEQ	CT274_754027_CD19_CAPPSEQ	CT366_1548706_CD19_CAPPSEQ	RIO72_1215551_CD19_CAPPSEQ	RM222_17896_CD19_CAPPSEQ	UD76_1575916_CD3_CAPPSEQ	TS399_73474005_CD3_CAPPSEQ	RMGEM336_74329796_CD3_CAPPSEQ	CRO103_1508198_rifatto_CD3_CAPPSEQ	RMPTV238_1693390_rifatto_CD3_CAPPSEQ	RMPTV238_75720908_rifatto_CD3_CAPPSEQ	RMGEM353_74554258_CD3_CAPPSEQ	CT225_737450_CD3_CAPPSEQ	CT421_1741622_CD3_CAPPSEQ	RM682_1180273_CD3_CAPPSEQ	RMSA98_74333761_CD3_CAPPSEQ	CT515_71596181_CD3_CAPPSEQ	CT274_754027_CD3_CAPPSEQ	CT366_1548706_CD3_CAPPSEQ	RIO72_1215551_CD3_CAPPSEQ	RM222_17896_CD3_CAPPSEQ	CT385_76313131_CD19_CAPPSEQ	RMPTV599_74204575_CD19_CAPPSEQ	CT385_73682553_CD19_CAPPSEQ	CT86_801852_CD19_CAPPSEQ	CT56_982721_CD19_CAPPSEQ	CT56_72349293_CD19_CAPPSEQ	RMPTV153_1638020_CD19_CAPPSEQ	CT404_1656880_CD19_CAPPSEQ	RMPTV105_742756_CD19_CAPPSEQ	CT385_76313131_CD3_CAPPSEQ	RMPTV599_74204575_CD3_CAPPSEQ	CT385_73682553_CD3_CAPPSEQ	CT86_801852_CD3_CAPPSEQ	CT56_982721_CD3_CAPPSEQ	CT56_72349293_CD3_CAPPSEQ	RMPTV153_1638020_CD3_CAPPSEQ	CT404_1656880_CD3_CAPPSEQ	RMPTV105_742756_CD3_CAPPSEQ	RMPTV441_71641950_TP53_CAPPSEQ	CT265_1308463_TP53_CAPPSEQ	RMPTV354_1725423_TP53_CAPPSEQ	RMPTV472_71854414_TP53_CAPPSEQ	TS242_72258495_TP53_CAPPSEQ	UD185_71424472_TP53_CAPPSEQ	RM731_1731335_TP53_CAPPSEQ	CT297_1716527_TP53_CAPPSEQ	RMGEM113_1728098_TP53_CAPPSEQ	RM499_1781010_TP53_CAPPSEQ	RMPTV162_71070456_TP53_CAPPSEQ	RMPTV13_1754919_TP53_CAPPSEQ	RMGEM15_70900705_TP53_CAPPSEQ	RM442_1444318_TP53_CAPPSEQ	RM678_1798162_TP53_CAPPSEQ	UD162_1740075_TP53_CAPPSEQ	CT398_1649277_TP53_CAPPSEQ	CT92_72077680_TP53_CAPPSEQ	RMGEM128_70992690_TP53_CAPPSEQ	RMGEM36_1783087_TP53_CAPPSEQ	RM113_1296957_TP53_CAPPSEQ	RMSA41_72195363_TP53_CAPPSEQ	RMPTV324_1711993_TP53_CAPPSEQ	RMSA25_71794251_TP53_CAPPSEQ	TS134_71741925_TP53_CAPPSEQ	UD13_1434331_TP53_CAPPSEQ	CT151_71530455_TP53_CAPPSEQ	CT447_1789524_TP53_CAPPSEQ	RMPTV133_71453788_TP53_CAPPSEQ	UD22_1297016_TP53_CAPPSEQ	TS235_1569503_TP53_CAPPSEQ	TS31_1776222_TP53_CAPPSEQ
L3T1101	17.38417	0.7853483	0.9794548	0.8380191	0.8948469	0.8042571	0.9003218	0.9284062	1.064519	0.8579925	0.8407566	0.8809568	1.038614	1.089917	1.479042	1.320219	1.120079	1.068169	1.200277	1.029844	1.124236	1.075874	1.269373	1.307342	1.354133	1.02736	1.13838	1.018337	0.8466878	0.8488169	0.8630112	0.9116265	0.8828324	0.8615917	0.8057779	1.032937	1.012558	0.8879525	1.124439	1.360621	1.208844	1.130421	1.009567	1.028172	1.055445	1.028932	1.233025	1.00394	1.057625	0.8339636	0.9476698	1.005106	1.012456	0.964196	0.9105113	1.309066	1.150141	0.8250922	1.071616	0.6149157	0.6134456	0.8445079	0.7791636	0.8248894	0.7211699	0.6016847	0.7932565	0.5180399	0.6382856	0.6519222	0.729433	0.7215755	0.8088702	0.5523596	0.5933709	0.7434245	0.6472077	0.7887955	0.7756658	0.8123174	0.6647984	0.9234382	0.9907595	0.6628214	0.7365302	0.634737	0.7270504	0.6836058	0.8222534	0.5947396	0.7400787
L3T1102	17.51585	0.7894921	1.000198	0.8189466	0.9075615	0.8015554	0.887456	0.9266617	1.049054	0.8756441	0.8486525	0.8696627	1.042369	1.089969	1.468605	1.288963	1.106455	1.072778	1.207736	1.029501	1.114196	1.068255	1.248701	1.317965	1.337919	1.024425	1.137317	1.022816	0.8477477	0.8384489	0.8780065	0.9036912	0.8897682	0.849909	0.8124626	1.031361	1.023821	0.8737843	1.132994	1.353803	1.199292	1.152346	1.009346	1.008441	1.05594	1.036387	1.224524	1.009346	1.033824	0.8259835	0.954156	1.015025	1.00829	0.982555	0.896604	1.305147	1.150034	0.8183937	1.068003	0.6250795	0.6082411	0.8407108	0.77195	0.8294517	0.7112315	0.6012042	0.8021083	0.5126396	0.6433252	0.647095	0.7278688	0.7331967	0.814071	0.551996	0.5945191	0.7591328	0.6401083	0.7921058	0.7670745	0.8196503	0.6731818	0.9191222	0.9815497	0.6609678	0.7409373	0.6355343	0.7211334	0.6768511	0.8034654	0.6045719	0.7317893
L3T1103	17.64475	0.7710787	0.9707738	0.8295768	0.8862991	0.7969538	0.8777248	0.9254162	1.052864	0.8614894	0.836832	0.8715351	1.0243	1.086502	1.458241	1.302128	1.105223	1.053321	1.193706	1.051596	1.112427	1.09467	1.261894	1.303853	1.348652	1.023387	1.128511	1.037948	0.8513423	0.8311496	0.8716873	0.9072529	0.8931484	0.8526107	0.8153708	1.035208	1.020495	0.8795513	1.129576	1.346115	1.204208	1.133584	1.020799	1.001824	1.036679	1.034041	1.210043	1.01745	1.045101	0.8240974	0.9510884	1.010956	1.011413	0.9793988	0.907811	1.312478	1.152914	0.802687	1.063214	0.6238442	0.6056809	0.8346503	0.7803126	0.8279533	0.715574	0.6017235	0.8064921	0.5090804	0.6342957	0.6528649	0.7264822	0.7344984	0.8128848	0.5574821	0.5986286	0.7431742	0.6473347	0.7954825	0.7889376	0.7983744	0.66839	0.9081154	0.9810731	0.6580399	0.7398256	0.6372384	0.7262792	0.6825452	0.8005561	0.6033978	0.7338388
L3T1104	17.2124	0.7957831	0.9944238	0.8296858	0.9013641	0.8151485	0.8954218	0.920358	1.042811	0.8848637	0.8437986	0.865127	1.037664	1.105576	1.456858	1.304906	1.112208	1.062335	1.184576	1.046896	1.134226	1.080905	1.249516	1.328091	1.360774	1.02769	1.138629	1.028326	0.8374849	0.8592909	0.8650209	0.9038046	0.8938301	0.8466105	0.8091001	1.034746	1.035648	0.8887899	1.115073	1.351595	1.219221	1.142768	1.012728	1.038301	1.058515	1.026788	1.210732	1.016707	1.049177	0.8339833	0.9613171	1.038619	1.010022	0.9896488	0.9058738	1.310106	1.164998	0.8276696	1.054854	0.6248375	0.6090269	0.8509611	0.7753036	0.8349383	0.7112653	0.5888657	0.7966851	0.501589	0.6328489	0.6558221	0.7260679	0.7374749	0.8113815	0.5521511	0.5946488	0.7658597	0.6522673	0.8088348	0.7664964	0.8170054	0.6693513	0.9216314	0.9992519	0.6617643	0.7487757	0.6273842	0.7275534	0.6810236	0.8189685	0.6078597	0.7487227
L3T1105	17.66503	0.799965	0.9897103	0.8194661	0.8734854	0.8064306	0.8758839	0.9361603	1.046597	0.8722861	0.8383416	0.8742154	1.046754	1.092274	1.461492	1.302302	1.11652	1.065421	1.176744	1.036847	1.11725	1.09144	1.257982	1.311219	1.352203	1.024072	1.112818	1.034918	0.8498129	0.8387066	0.8727554	0.8900145	0.894238	0.84658	0.8251496	1.039715	1.022716	0.8798467	1.116937	1.338124	1.199895	1.130129	1.010463	1.010671	1.047223	1.017502	1.201251	1.013748	1.019118	0.8365688	0.9509686	1.018753	1.010984	0.9881981	0.9093592	1.324254	1.145094	0.8029892	1.064586	0.614756	0.6078733	0.8442337	0.7710261	0.8336488	0.7205003	0.5985398	0.7802031	0.5106803	0.6314937	0.6571997	0.7202917	0.7264967	0.8038756	0.5570868	0.5992177	0.7523592	0.6273744	0.7955329	0.7689925	0.807317	0.6713303	0.9128527	0.9721384	0.6494306	0.7318673	0.6234116	0.7260795	0.6890065	0.8283303	0.6148082	0.7378637
L3T1106	17.73994	0.7856359	0.9819249	0.8142258	0.8972219	0.8011043	0.8787665	0.9406402	1.05356	0.8790332	0.8512434	0.854017	1.030784	1.089297	1.459846	1.293107	1.116073	1.037398	1.188775	1.052226	1.126528	1.091324	1.271558	1.311082	1.365328	1.013182	1.145143	1.02465	0.8400954	0.8467095	0.8638848	0.8973286	0.8846338	0.8472429	0.7964638	1.043319	1.013022	0.877753	1.116447	1.347886	1.211871	1.127968	1.017129	1.007421	1.051266	1.032597	1.213525	1.023583	1.040492	0.8308144	0.9517348	1.022783	1.017396	0.96843	0.8988221	1.307722	1.14157	0.8234002	1.068388	0.6202838	0.6065222	0.8504966	0.7751281	0.8287875	0.7224821	0.5981479	0.79193	0.5110981	0.6276446	0.6544743	0.7166681	0.7410975	0.8039847	0.5469955	0.5851865	0.7399774	0.6520207	0.789423	0.7584328	0.8018511	0.6575147	0.8909812	0.977231	0.6628486	0.7318165	0.6178302	0.7177882	0.6743699	0.7966772	0.5969745	0.7280294
L3T1107	17.75978	0.7901494	0.9807672	0.8162114	0.8923126	0.799636	0.8877257	0.9157685	1.030546	0.879021	0.8449839	0.8495709	1.041752	1.083087	1.45077	1.283765	1.099871	1.056139	1.178839	1.045818	1.122441	1.093512	1.255461	1.315613	1.358563	1.021424	1.134742	1.019339	0.8619243	0.8453488	0.869795	0.90967	0.8707854	0.851291	0.8166805	1.043473	1.016733	0.8764148	1.118531	1.356582	1.208393	1.129582	1.000105	1.019756	1.050457	1.034664	1.209696	1.001148	1.037843	0.8246034	0.9420912	1.023509	1.000887	0.9898368	0.8941891	1.302217	1.141414	0.8082886	1.062758	0.6262712	0.6069331	0.8406576	0.7730005	0.8305456	0.7010171	0.6038578	0.7812362	0.5090441	0.6216321	0.652229	0.7143609	0.7362009	0.8186613	0.554809	0.590097	0.7362009	0.6499876	0.7926513	0.7788906	0.814335	0.6535321	0.914309	0.994111	0.6537406	0.729946	0.6290338	0.7195212	0.6784474	0.8209547	0.6119892	0.7355233
L3T1108	17.70301	0.7804835	0.9798492	0.8273992	0.8957875	0.8029487	0.8802708	0.9297466	1.048603	0.8632391	0.8453714	0.8637093	1.024989	1.066366	1.471315	1.297236	1.107013	1.048708	1.17817	1.044685	1.113805	1.089354	1.259515	1.319231	1.367609	1.02154	1.125246	1.022638	0.8326759	0.8482448	0.8733223	0.8903541	0.8939589	0.8539918	0.8197192	1.030736	1.025041	0.8797484	1.116469	1.360818	1.203822	1.147659	1.012293	1.013495	1.054298	1.042856	1.210457	1.000329	1.024675	0.8289665	0.9443751	1.014592	0.9936418	0.9765056	0.9094756	1.299482	1.142382	0.819249	1.059052	0.6070311	0.6054638	0.8370122	0.7715496	0.8251004	0.7162225	0.6023813	0.797672	0.5133041	0.6329445	0.6408334	0.7212902	0.7342469	0.8071805	0.555988	0.6023813	0.7492934	0.6472073	0.8084344	0.772908	0.8151217	0.6640301	0.9101026	0.9885741	0.6534766	0.7316347	0.6245331	0.7174764	0.6801737	0.8218613	0.6005527	0.7434942
L3T1109	17.31678	0.7930118	0.9811261	0.832372	0.8994199	0.8184737	0.8826443	0.9433947	1.060009	0.8787355	0.8445872	0.8693433	1.028847	1.097144	1.455402	1.313977	1.108327	1.054635	1.1972	1.031073	1.115548	1.092637	1.257299	1.310883	1.352849	1.023472	1.14177	1.044428	0.8531107	0.8517534	0.8676604	0.9065319	0.8849788	0.8487675	0.8079415	1.038891	1.025915	0.8804728	1.126786	1.359201	1.208329	1.148013	1.015383	1.016089	1.056155	1.02939	1.207786	1.004634	1.038836	0.8388324	0.9492037	1.020541	0.9898125	0.9714083	0.9125038	1.312566	1.151976	0.8258572	1.078902	0.6230846	0.6082635	0.84475	0.7723274	0.8329691	0.724498	0.6057118	0.7906773	0.5155364	0.6398601	0.6615761	0.7389934	0.7318814	0.8149449	0.5525078	0.5982198	0.7521858	0.6502838	0.7943691	0.7765077	0.8190166	0.6634762	0.9139696	0.9836778	0.6648335	0.7345416	0.636277	0.7174403	0.6865494	0.8307433	0.6105436	0.7361703
