Lane	Read	Project	Sample Id	Sample Name	Sample Number	TrimmedBases	PercentageOfBases
1	1	default	1073	TS336_71410405_CLL_RNA_seq	7	0	0
1	2	default	1073	TS336_71410405_CLL_RNA_seq	7	0	0
1	1	default	1074	TS336_71410405_CD3_RNA_seq	8	0	0
1	2	default	1074	TS336_71410405_CD3_RNA_seq	8	0	0
1	1	default	1081	TS336_77265737_HUTSPOS_RNA_seq	9	0	0
1	2	default	1081	TS336_77265737_HUTSPOS_RNA_seq	9	0	0
1	1	default	1082	TS336_77265737_HUTSNEG_RNA_seq	10	0	0
1	2	default	1082	TS336_77265737_HUTSNEG_RNA_seq	10	0	0
1	1	default	1083	UD214_76788661_HUTSPOS_RNA_seq	11	0	0
1	2	default	1083	UD214_76788661_HUTSPOS_RNA_seq	11	0	0
1	1	default	1084	UD214_76788661_HUTSNEG_RNA_seq	12	0	0
1	2	default	1084	UD214_76788661_HUTSNEG_RNA_seq	12	0	0
1	1	default	1085	CT879_76313007_HUTSPOS_RNA_seq	13	0	0
1	2	default	1085	CT879_76313007_HUTSPOS_RNA_seq	13	0	0
1	1	default	1086	CT879_76313007_HUTSNEG_RNA_seq	14	0	0
1	2	default	1086	CT879_76313007_HUTSNEG_RNA_seq	14	0	0
1	1	default	1087	VALLO75_76330113_HUTSPOS_RNA_seq	15	0	0
1	2	default	1087	VALLO75_76330113_HUTSPOS_RNA_seq	15	0	0
1	1	default	1088	VALLO75_76330113_HUTSNEG_RNA_seq	16	0	0
1	2	default	1088	VALLO75_76330113_HUTSNEG_RNA_seq	16	0	0
1	1	default	1089	FR52_77252459_HUTSPOS_RNA_seq	17	0	0
1	2	default	1089	FR52_77252459_HUTSPOS_RNA_seq	17	0	0
1	1	default	1090	FR52_77252459_HUTSNEG_RNA_seq	18	0	0
1	2	default	1090	FR52_77252459_HUTSNEG_RNA_seq	18	0	0
1	1	default	1091	TS278_1789541_CLL_RNA_seq	1	0	0
1	2	default	1091	TS278_1789541_CLL_RNA_seq	1	0	0
1	1	default	1092	TS278_1789541_CD3_RNA_seq	2	0	0
1	2	default	1092	TS278_1789541_CD3_RNA_seq	2	0	0
1	1	default	1093	TS239_70911769_CLL_RNA_seq	3	0	0
1	2	default	1093	TS239_70911769_CLL_RNA_seq	3	0	0
1	1	default	1094	TS239_70911769_CD3_RNA_seq	4	0	0
1	2	default	1094	TS239_70911769_CD3_RNA_seq	4	0	0
1	1	default	1095	TS324_71147278_CLL_RNA_seq	5	0	0
1	2	default	1095	TS324_71147278_CLL_RNA_seq	5	0	0
1	1	default	1096	TS324_71147278_CD3_RNA_seq	6	0	0
1	2	default	1096	TS324_71147278_CD3_RNA_seq	6	0	0
1	1	default	unknown	Undetermined	0	0	0
1	2	default	unknown	Undetermined	0	0	0
2	1	default	1073	TS336_71410405_CLL_RNA_seq	7	0	0
2	2	default	1073	TS336_71410405_CLL_RNA_seq	7	0	0
2	1	default	1074	TS336_71410405_CD3_RNA_seq	8	0	0
2	2	default	1074	TS336_71410405_CD3_RNA_seq	8	0	0
2	1	default	1081	TS336_77265737_HUTSPOS_RNA_seq	9	0	0
2	2	default	1081	TS336_77265737_HUTSPOS_RNA_seq	9	0	0
2	1	default	1082	TS336_77265737_HUTSNEG_RNA_seq	10	0	0
2	2	default	1082	TS336_77265737_HUTSNEG_RNA_seq	10	0	0
2	1	default	1083	UD214_76788661_HUTSPOS_RNA_seq	11	0	0
2	2	default	1083	UD214_76788661_HUTSPOS_RNA_seq	11	0	0
2	1	default	1084	UD214_76788661_HUTSNEG_RNA_seq	12	0	0
2	2	default	1084	UD214_76788661_HUTSNEG_RNA_seq	12	0	0
2	1	default	1085	CT879_76313007_HUTSPOS_RNA_seq	13	0	0
2	2	default	1085	CT879_76313007_HUTSPOS_RNA_seq	13	0	0
2	1	default	1086	CT879_76313007_HUTSNEG_RNA_seq	14	0	0
2	2	default	1086	CT879_76313007_HUTSNEG_RNA_seq	14	0	0
2	1	default	1087	VALLO75_76330113_HUTSPOS_RNA_seq	15	0	0
2	2	default	1087	VALLO75_76330113_HUTSPOS_RNA_seq	15	0	0
2	1	default	1088	VALLO75_76330113_HUTSNEG_RNA_seq	16	0	0
2	2	default	1088	VALLO75_76330113_HUTSNEG_RNA_seq	16	0	0
2	1	default	1089	FR52_77252459_HUTSPOS_RNA_seq	17	0	0
2	2	default	1089	FR52_77252459_HUTSPOS_RNA_seq	17	0	0
2	1	default	1090	FR52_77252459_HUTSNEG_RNA_seq	18	0	0
2	2	default	1090	FR52_77252459_HUTSNEG_RNA_seq	18	0	0
2	1	default	1091	TS278_1789541_CLL_RNA_seq	1	0	0
2	2	default	1091	TS278_1789541_CLL_RNA_seq	1	0	0
2	1	default	1092	TS278_1789541_CD3_RNA_seq	2	0	0
2	2	default	1092	TS278_1789541_CD3_RNA_seq	2	0	0
2	1	default	1093	TS239_70911769_CLL_RNA_seq	3	0	0
2	2	default	1093	TS239_70911769_CLL_RNA_seq	3	0	0
2	1	default	1094	TS239_70911769_CD3_RNA_seq	4	0	0
2	2	default	1094	TS239_70911769_CD3_RNA_seq	4	0	0
2	1	default	1095	TS324_71147278_CLL_RNA_seq	5	0	0
2	2	default	1095	TS324_71147278_CLL_RNA_seq	5	0	0
2	1	default	1096	TS324_71147278_CD3_RNA_seq	6	0	0
2	2	default	1096	TS324_71147278_CD3_RNA_seq	6	0	0
2	1	default	unknown	Undetermined	0	0	0
2	2	default	unknown	Undetermined	0	0	0
3	1	default	1073	TS336_71410405_CLL_RNA_seq	7	0	0
3	2	default	1073	TS336_71410405_CLL_RNA_seq	7	0	0
3	1	default	1074	TS336_71410405_CD3_RNA_seq	8	0	0
3	2	default	1074	TS336_71410405_CD3_RNA_seq	8	0	0
3	1	default	1081	TS336_77265737_HUTSPOS_RNA_seq	9	0	0
3	2	default	1081	TS336_77265737_HUTSPOS_RNA_seq	9	0	0
3	1	default	1082	TS336_77265737_HUTSNEG_RNA_seq	10	0	0
3	2	default	1082	TS336_77265737_HUTSNEG_RNA_seq	10	0	0
3	1	default	1083	UD214_76788661_HUTSPOS_RNA_seq	11	0	0
3	2	default	1083	UD214_76788661_HUTSPOS_RNA_seq	11	0	0
3	1	default	1084	UD214_76788661_HUTSNEG_RNA_seq	12	0	0
3	2	default	1084	UD214_76788661_HUTSNEG_RNA_seq	12	0	0
3	1	default	1085	CT879_76313007_HUTSPOS_RNA_seq	13	0	0
3	2	default	1085	CT879_76313007_HUTSPOS_RNA_seq	13	0	0
3	1	default	1086	CT879_76313007_HUTSNEG_RNA_seq	14	0	0
3	2	default	1086	CT879_76313007_HUTSNEG_RNA_seq	14	0	0
3	1	default	1087	VALLO75_76330113_HUTSPOS_RNA_seq	15	0	0
3	2	default	1087	VALLO75_76330113_HUTSPOS_RNA_seq	15	0	0
3	1	default	1088	VALLO75_76330113_HUTSNEG_RNA_seq	16	0	0
3	2	default	1088	VALLO75_76330113_HUTSNEG_RNA_seq	16	0	0
3	1	default	1089	FR52_77252459_HUTSPOS_RNA_seq	17	0	0
3	2	default	1089	FR52_77252459_HUTSPOS_RNA_seq	17	0	0
3	1	default	1090	FR52_77252459_HUTSNEG_RNA_seq	18	0	0
3	2	default	1090	FR52_77252459_HUTSNEG_RNA_seq	18	0	0
3	1	default	1091	TS278_1789541_CLL_RNA_seq	1	0	0
3	2	default	1091	TS278_1789541_CLL_RNA_seq	1	0	0
3	1	default	1092	TS278_1789541_CD3_RNA_seq	2	0	0
3	2	default	1092	TS278_1789541_CD3_RNA_seq	2	0	0
3	1	default	1093	TS239_70911769_CLL_RNA_seq	3	0	0
3	2	default	1093	TS239_70911769_CLL_RNA_seq	3	0	0
3	1	default	1094	TS239_70911769_CD3_RNA_seq	4	0	0
3	2	default	1094	TS239_70911769_CD3_RNA_seq	4	0	0
3	1	default	1095	TS324_71147278_CLL_RNA_seq	5	0	0
3	2	default	1095	TS324_71147278_CLL_RNA_seq	5	0	0
3	1	default	1096	TS324_71147278_CD3_RNA_seq	6	0	0
3	2	default	1096	TS324_71147278_CD3_RNA_seq	6	0	0
3	1	default	unknown	Undetermined	0	0	0
3	2	default	unknown	Undetermined	0	0	0
4	1	default	1073	TS336_71410405_CLL_RNA_seq	7	0	0
4	2	default	1073	TS336_71410405_CLL_RNA_seq	7	0	0
4	1	default	1074	TS336_71410405_CD3_RNA_seq	8	0	0
4	2	default	1074	TS336_71410405_CD3_RNA_seq	8	0	0
4	1	default	1081	TS336_77265737_HUTSPOS_RNA_seq	9	0	0
4	2	default	1081	TS336_77265737_HUTSPOS_RNA_seq	9	0	0
4	1	default	1082	TS336_77265737_HUTSNEG_RNA_seq	10	0	0
