SampleNumber	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
SampleName	None	TS278_1789541_CLL_RNA_seq	TS278_1789541_CD3_RNA_seq	TS239_70911769_CLL_RNA_seq	TS239_70911769_CD3_RNA_seq	TS324_71147278_CLL_RNA_seq	TS324_71147278_CD3_RNA_seq	TS336_71410405_CLL_RNA_seq	TS336_71410405_CD3_RNA_seq	TS336_77265737_HUTSPOS_RNA_seq	TS336_77265737_HUTSNEG_RNA_seq	UD214_76788661_HUTSPOS_RNA_seq	UD214_76788661_HUTSNEG_RNA_seq	CT879_76313007_HUTSPOS_RNA_seq	CT879_76313007_HUTSNEG_RNA_seq	VALLO75_76330113_HUTSPOS_RNA_seq	VALLO75_76330113_HUTSNEG_RNA_seq	FR52_77252459_HUTSPOS_RNA_seq	FR52_77252459_HUTSNEG_RNA_seq
L3T1101	91.65798	0.3505476	0.5805453	0.5265058	0.4551289	0.5595074	0.494518	0.2891574	0.3074579	0.4084906	0.5616366	0.4880292	0.3871992	0.4270445	0.4594886	0.4462068	0.5211829	0.4762175	0.6031548
L3T1102	91.69156	0.3467693	0.5778316	0.5152533	0.4539818	0.5610435	0.4959017	0.2911777	0.3000241	0.4074376	0.5707947	0.4842406	0.3989933	0.4231199	0.4470454	0.4499607	0.5116343	0.4714736	0.6017571
L3T1103	91.71407	0.3372899	0.5808712	0.5171473	0.4577868	0.5532203	0.5079135	0.2921352	0.3092838	0.4064931	0.5618454	0.4849303	0.3864526	0.424352	0.4601713	0.4277006	0.5107547	0.4716883	0.5958889
L3T1104	91.66133	0.3387079	0.5726307	0.5145346	0.4602055	0.5731082	0.4970793	0.2900027	0.3113311	0.4152143	0.5644601	0.4819584	0.3957959	0.4278415	0.4724614	0.4348449	0.5145346	0.4693842	0.6045702
L3T1105	91.70684	0.3362648	0.5673588	0.513496	0.4632309	0.5583382	0.4999911	0.296741	0.2994524	0.4071781	0.560841	0.4796557	0.3861127	0.4284	0.456661	0.4415919	0.5155816	0.4759536	0.606309
L3T1106	91.66599	0.3420122	0.572385	0.5178188	0.454665	0.5618772	0.5017637	0.29358	0.3061148	0.4132203	0.5613971	0.4817614	0.384737	0.4344494	0.4565319	0.4415435	0.5275799	0.4742405	0.6083358
L3T1107	91.68042	0.3458435	0.5779521	0.5113896	0.4623409	0.5641914	0.5036753	0.2875166	0.3085226	0.4101646	0.5721142	0.4947099	0.3869173	0.4160025	0.4588485	0.4396669	0.5185828	0.4558253	0.6053173
L3T1108	91.73134	0.3410534	0.5790802	0.5176927	0.4595966	0.5500844	0.4983621	0.2892789	0.3027058	0.4149796	0.554264	0.4819051	0.3911038	0.4227641	0.4535884	0.4339967	0.5052584	0.4652912	0.607658
L3T1109	91.65505	0.3515811	0.5895878	0.5206396	0.4501714	0.5552766	0.498598	0.2951196	0.305869	0.4057623	0.572215	0.4824739	0.3946329	0.4192262	0.4654812	0.4421365	0.5173823	0.4666212	0.6121723
L3T1110	91.76568	0.342273	0.5750313	0.5044246	0.4505154	0.5583338	0.4957843	0.282904	0.3015628	0.4140459	0.5655429	0.4791397	0.3961821	0.4141519	0.4567173	0.4260257	0.5075521	0.4664708	0.5976657
L3T1111	91.6987	0.3391348	0.5820158	0.513618	0.4548403	0.5626699	0.4998221	0.2882857	0.3013416	0.4113913	0.5754615	0.4849163	0.3861781	0.4219099	0.4509288	0.4345429	0.5222866	0.4788376	0.5931159
L3T1112	91.64741	0.3502174	0.5708101	0.5160048	0.4474203	0.5771074	0.4948683	0.3019588	0.307695	0.4134398	0.5754239	0.4843936	0.3785241	0.4146245	0.4671228	0.4435546	0.5221774	0.4739812	0.6132701
L3T1113	91.61486	0.3374142	0.5761395	0.5114214	0.4519726	0.5505374	0.4966057	0.3023276	0.3129899	0.4219072	0.5778752	0.4868112	0.3881224	0.4263705	0.4701358	0.4535223	0.520658	0.4824719	0.6178591
L3T1114	91.67886	0.3396646	0.567427	0.5285671	0.4684781	0.5412326	0.4935212	0.2947598	0.3033954	0.4083172	0.5673551	0.4836623	0.385433	0.4310574	0.4627931	0.4486164	0.5294306	0.4596986	0.6077262
L3T1115	91.76	0.3405467	0.5646592	0.5219356	0.4507089	0.5567106	0.497531	0.2911165	0.3039708	0.4127048	0.5608712	0.4767902	0.3870582	0.4161202	0.4597132	0.4302165	0.5165951	0.4587196	0.5940316
L3T1116	91.67405	0.340665	0.5932556	0.5282854	0.4565608	0.5661847	0.497194	0.2938135	0.3070542	0.4139442	0.5644157	0.4790752	0.3801725	0.4264343	0.4606884	0.4352257	0.5197084	0.4706055	0.592666
L3T1117	91.72303	0.3408802	0.5822309	0.515192	0.455626	0.5695054	0.4956977	0.2897075	0.3071441	0.4098685	0.5486573	0.4855173	0.3882622	0.4193449	0.4570339	0.4321245	0.5103185	0.4705175	0.5993426
L3T1118	91.71349	0.3364349	0.5934612	0.5081941	0.4493966	0.5619854	0.507768	0.2830165	0.3044265	0.4067364	0.5734892	0.4877428	0.3828232	0.4188793	0.4584505	0.4340048	0.5111766	0.4737358	0.5947927
L3T1119	91.62187	0.3396043	0.5820272	0.5281882	0.4552432	0.5770148	0.5056619	0.2944338	0.3127143	0.4121366	0.5749509	0.4860841	0.3820622	0.4182104	0.4624964	0.4413264	0.5178096	0.4796565	0.6085044
L3T1120	91.65546	0.3459334	0.5949294	0.5119488	0.4436311	0.5688622	0.5159132	0.2928215	0.3112857	0.402358	0.563866	0.4862618	0.3861746	0.4238091	0.4674717	0.4372229	0.5181941	0.4796907	0.5941691
L3T1121	91.67544	0.3455235	0.5957463	0.5286463	0.4567683	0.576011	0.5047043	0.2944195	0.3072474	0.4063394	0.5497838	0.4916686	0.3894605	0.4233221	0.4544831	0.4332937	0.5110403	0.4686095	0.5874887
L3T1122	91.70683	0.339291	0.5826798	0.5114414	0.4504428	0.5686964	0.5056608	0.2932117	0.3062592	0.4164201	0.5546028	0.4814926	0.3817918	0.4324405	0.4582052	0.4263846	0.5117166	0.4728493	0.599581
L3T1123	91.71553	0.3379246	0.5880546	0.5138974	0.4477912	0.5603962	0.5087491	0.2917544	0.3026534	0.4166276	0.5635181	0.4783523	0.3820136	0.4241858	0.4581973	0.432182	0.5077632	0.4673437	0.6030613
L3T1124	91.69819	0.3333179	0.590759	0.5159292	0.4503015	0.5702607	0.5092066	0.2890702	0.300201	0.4101866	0.5645851	0.4838041	0.3837922	0.4266072	0.4622589	0.4313461	0.5119067	0.475704	0.5925774
L3T1125	91.74458	0.3436678	0.5866279	0.5161543	0.4508465	0.5678132	0.5094658	0.2895619	0.3064734	0.4094106	0.5472584	0.4754253	0.387877	0.4222982	0.4447018	0.4361645	0.4992972	0.4764585	0.585921
L3T1126	91.72767	0.340345	0.594597	0.5198779	0.4525599	0.5698902	0.4911983	0.2917476	0.2986046	0.4112548	0.5623802	0.4861916	0.3709293	0.4172954	0.4532129	0.4357984	0.5133474	0.4641514	0.5989507
L3T1127	91.69295	0.3401183	0.5949784	0.5162827	0.4562523	0.571956	0.5029964	0.2861663	0.3073598	0.4163935	0.5587773	0.4827173	0.3815909	0.4290343	0.4560372	0.43167	0.5033192	0.4749177	0.5964846
L3T1128	91.75135	0.3337679	0.5860189	0.515448	0.4483424	0.5651722	0.4972415	0.286904	0.3065956	0.4009835	0.5556014	0.4778799	0.3814569	0.4181449	0.4584083	0.4266156	0.5194084	0.4752397	0.5954247
L3T1129	91.74046	0.3326945	0.5732479	0.5142045	0.4546067	0.5593325	0.4989031	0.2876773	0.306416	0.4157988	0.5616056	0.4724583	0.3886333	0.4208438	0.4631444	0.4304349	0.5123196	0.4738998	0.5933172
L3T1130	91.71595	0.3463844	0.5799821	0.5129273	0.4475558	0.5632044	0.4963179	0.290945	0.3020553	0.4120364	0.556078	0.4813919	0.3906574	0.4200044	0.4586101	0.4381289	0.5098972	0.4737044	0.6041667
L3T1131	91.74755	0.3333573	0.59412	0.5149804	0.4510578	0.5733942	0.502054	0.2910332	0.3102318	0.4027341	0.5534321	0.4802375	0.3861535	0.4170785	0.4547666	0.4328409	0.4994906	0.4690565	0.5864297
L3T1132	91.77827	0.345259	0.5779816	0.5002941	0.4407393	0.5679519	0.5066406	0.2856476	0.3020237	0.4041905	0.5513491	0.482898	0.3822045	0.4236832	0.4533756	0.4276497	0.5125904	0.4720183	0.5852347
L3T1133	91.69217	0.3455327	0.5924336	0.5119539	0.4484483	0.5782975	0.5094908	0.2901126	0.3110491	0.4051295	0.5599312	0.4862518	0.3916894	0.4224249	0.4530532	0.426655	0.5129177	0.4728653	0.5895957
L3T1134	91.74099	0.3400825	0.6002388	0.5185098	0.4450301	0.5657662	0.4891725	0.2971966	0.2984532	0.408099	0.5543482	0.4844742	0.3804554	0.4150919	0.4626215	0.4345954	0.5110252	0.4614742	0.5923719
L3T1135	91.70422	0.3331208	0.6014252	0.5213417	0.4555884	0.5698989	0.5049723	0.2899099	0.2979568	0.4100626	0.5691824	0.4873903	0.3794733	0.4198182	0.4530531	0.4247235	0.5126885	0.467769	0.5974017
L3T1136	91.74384	0.3331184	0.5999865	0.5111727	0.446416	0.5699551	0.5086656	0.2913519	0.3033004	0.4015023	0.5596602	0.4842885	0.3791522	0.4149977	0.4522835	0.4214521	0.5098925	0.47266	0.5963059
L3T1137	91.75604	0.3409873	0.5901161	0.5206939	0.4479116	0.5708773	0.5099635	0.298391	0.305382	0.4057489	0.549796	0.4844924	0.3742623	0.4079166	0.4473155	0.4312742	0.5049777	0.4720821	0.5817703
L3T1138	91.72868	0.3475491	0.5919715	0.5178117	0.4468644	0.5656181	0.4952153	0.2930455	0.2970203	0.4067898	0.5526047	0.4881369	0.3823966	0.4106557	0.4703865	0.4273172	0.5118767	0.4753958	0.5906647
L3T1139	91.74535	0.3429994	0.5901089	0.5025697	0.4566698	0.5636938	0.5004678	0.2940319	0.3107331	0.4047484	0.5638642	0.4816648	0.3853773	0.4177003	0.4514435	0.4208815	0.5085912	0.4660997	0.5930061
L3T1140	91.76983	0.3398326	0.5866922	0.5105364	0.4581722	0.5754994	0.4902882	0.2839813	0.2965802	0.4062581	0.5633505	0.4792641	0.3822977	0.4161572	0.452154	0.4297122	0.5127862	0.4609282	0.5856798
L3T1141	91.77273	0.336449	0.593714	0.5093803	0.45373	0.5661934	0.5006313	0.2888279	0.3077102	0.4036724	0.5529592	0.4765992	0.3755427	0.4278706	0.4649708	0.4232192	0.4975303	0.4653584	0.5829162
L3T1142	91.73444	0.3386462	0.5820993	0.5246338	0.4517727	0.5561016	0.5039371	0.2934746	0.2979861	0.405304	0.5641096	0.4773192	0.3894009	0.4192897	0.4475995	0.4354748	0.5117195	0.4748378	0.5918555
L3T1143	91.70568	0.3457423	0.5915747	0.5168957	0.4486934	0.5662875	0.5023091	0.2849178	0.3027146	0.4144515	0.5636405	0.4766276	0.3811106	0.4093264	0.4602388	0.4396824	0.513235	0.4647443	0.6121311
L3T1144	91.70574	0.3354327	0.5972396	0.5167922	0.4562214	0.5693653	0.505913	0.2932684	0.3017954	0.4046481	0.5641903	0.4860364	0.3834777	0.4188793	0.45728	0.4415786	0.5055602	0.4647484	0.5918294
L3T1145	91.71594	0.3391951	0.6018899	0.5073087	0.45444	0.57617	0.5138486	0.2883598	0.3025936	0.4025056	0.5675967	0.4814789	0.3806876	0.419982	0.4642224	0.4242136	0.5040663	0.4653215	0.590184
L3T1146	91.64527	0.3413847	0.5975925	0.5240357	0.4633965	0.5665678	0.5095951	0.287853	0.3114318	0.4058597	0.5629012	0.4928418	0.3879782	0.4112749	0.4636785	0.4362075	0.5188461	0.4721398	0.6011462
L3T1147	91.72259	0.3454233	0.5843373	0.5255993	0.4585931	0.5662508	0.503551	0.2911064	0.306724	0.406171	0.5572937	0.4724881	0.3952617	0.4129463	0.4611195	0.4241427	0.5095224	0.4647368	0.5921461
L3T1148	91.73256	0.3385963	0.613921	0.5124022	0.4494037	0.5709749	0.4984693	0.2909513	0.302644	0.4056381	0.567642	0.4796189	0.3785372	0.4147627	0.4525727	0.4266193	0.5060094	0.4698932	0.5887871
L3T1149	91.77595	0.334045	0.5916809	0.5112445	0.4483866	0.5656669	0.497911	0.2904526	0.3072692	0.3988077	0.5523879	0.4812033	0.3799775	0.4176923	0.4573663	0.4308081	0.5075982	0.4672167	0.5843338
L3T1150	91.75049	0.3315848	0.5858237	0.5162454	0.4445737	0.5695171	0.5156394	0.2849789	0.2986962	0.4111343	0.5667626	0.4855604	0.3876661	0.4108037	0.4526719	0.429369	0.5059987	0.46683	0.5856584
L3T1151	91.69582	0.3352326	0.6116194	0.5160366	0.4562488	0.5683994	0.505287	0.287081	0.3042582	0.4025008	0.5708928	0.4744788	0.3805583	0.4176832	0.4615682	0.4325332	0.5089441	0.4710988	0.5997616
L3T1152	91.75829	0.3328052	0.5962119	0.5221941	0.4507058	0.570971	0.5032222	0.2906272	0.3044849	0.4052283	0.5561785	0.4746819	0.3747633	0.4110024	0.4548851	0.431184	0.5034422	0.4700077	0.5891181
L3T1153	91.75052	0.3458105	0.6015396	0.513508	0.4506284	0.5710693	0.5079126	0.2861994	0.3064761	0.4086347	0.5499062	0.4843119	0.391793	0.4140086	0.4453653	0.4202135	0.505198	0.4589939	0.587911
L3T1154	91.73047	0.3366166	0.6008492	0.5104391	0.4577046	0.5784566	0.4978993	0.2935669	0.3123767	0.4058098	0.5628378	0.4895581	0.3849287	0.4126395	0.4557452	0.4135912	0.5008103	0.4749469	0.5807519
L3T1155	91.7311	0.3373411	0.5887943	0.5069542	0.4608775	0.5724928	0.5021303	0.2925397	0.3069005	0.4079809	0.5641758	0.4818366	0.3779284	0.4211219	0.4571626	0.4322668	0.5019085	0.4699154	0.5865764
L3T1156	91.75462	0.3360269	0.5907695	0.5162635	0.4488692	0.5622116	0.4978732	0.2874674	0.3001907	0.4056436	0.5576002	0.4835942	0.3814194	0.420867	0.4503694	0.4350348	0.5117076	0.4713155	0.5881582
L3T1157	91.73322	0.330779	0.6000178	0.5233672	0.4428153	0.5828195	0.5052897	0.2976462	0.3090751	0.3994624	0.5488624	0.4788054	0.3767145	0.4156717	0.4577059	0.4304523	0.5074326	0.466827	0.5930396
L3T1158	91.72425	0.3380819	0.5954119	0.5258678	0.4489265	0.5674485	0.5024436	0.2866383	0.3045147	0.4077941	0.5645906	0.4795237	0.3770288	0.4218038	0.4615913	0.4311062	0.5061421	0.4662986	0.5905365
L3T1159	91.778	0.3373451	0.5911205	0.5154116	0.4428247	0.5626321	0.4869232	0.2889539	0.3131495	0.4080365	0.5513148	0.4882055	0.3765376	0.4202458	0.4513545	0.4244829	0.5033695	0.4661283	0.5939638
L3T1160	91.73589	0.3412542	0.6121461	0.5125271	0.4507004	0.5599781	0.5088208	0.2874015	0.3046973	0.3974654	0.5611573	0.4812487	0.3761826	0.421949	0.4442425	0.4326746	0.5092701	0.4740047	0.5883925
L3T1161	91.74762	0.3353936	0.605061	0.5218973	0.4541591	0.5754954	0.4940084	0.2868814	0.3052691	0.4094474	0.5554869	0.477968	0.3859737	0.4159306	0.4509175	0.4242581	0.4999885	0.4722114	0.5820345
L3T1162	91.73955	0.3383215	0.596856	0.5229729	0.4459973	0.5749834	0.500763	0.284343	0.3081835	0.4096181	0.5592397	0.4842321	0.3800424	0.419739	0.4551062	0.4314906	0.4944093	0.4590984	0.5950567
L3T1163	91.74092	0.3377203	0.6127322	0.5149711	0.4552987	0.5861805	0.499018	0.2830713	0.3071941	0.4090402	0.5571447	0.4821264	0.3800596	0.4141187	0.4440929	0.4261525	0.4970307	0.4633029	0.5898238
L3T1164	91.73195	0.3405588	0.6010719	0.5180512	0.4468185	0.5836707	0.5056459	0.2903759	0.3087314	0.3970285	0.5508329	0.4874588	0.3847354	0.4119599	0.4556314	0.4294734	0.502334	0.465174	0.5884981
