channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,meas_cap,meas_res,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,reserve_pore_intercept_median_mv,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,sd_cap,seconds_since_start_of_run,short_strand,strand,strand2,strand_median_pa,strand_range_pa,strand_sd_pa,total_good_samples,total_time_active,transition,triangle_ratio,unavailable,unclassed,unknown_negative,unknown_positive,zero
1,1,0,0.35,0.001,False,0,Pich31-12-24,PBE45781,-0.092,0.362,15,0,0,-0.119,0.357,-0.179,-0.188,-0.162,-30,-40,-50,-125.975,-0.145,0.365,0.02,1239.52,0,zero,0,0,0,,,0,15.7935,1,16,-174,0.22,7,0,0,0,,,,0,0.0,0,1.59,0,0,0,0,56237
1,2,0,-0.23,0.001,False,0,Pich31-12-24,PBE45781,-0.082,0.359,15,0,0,-0.102,0.358,-0.122,-0.122,-0.145,-30,-40,-50,44.565,-0.092,0.357,-0.01,-1965.91,0,zero,0,0,0,,,0,15.7935,1,16,-174,0.21,7,0,0,0,,,,0,0.0,0,1.41,0,0,0,0,52309
1,3,0,0.07,0.0,False,0,Pich31-12-24,PBE45781,-0.63,0.407,15,0,0,-0.627,0.402,-0.626,-0.629,-0.625,-30,-40,-50,-763.077,-0.622,0.406,0.0,610.45,0,zero,0,0,0,,,0,15.7935,1,16,-174,0.24,7,0,0,0,,,,0,0.0,0,1.57,0,0,0,0,56372
1,4,0,-0.25,0.001,False,0,Pich31-12-24,PBE45781,-0.389,0.38,15,0,0,-0.372,0.389,-0.428,-0.422,-0.441,-30,-40,-50,256.519,-0.395,0.377,0.0,-1093.82,0,zero,0,0,0,,,0,15.7935,1,16,-174,0.23,7,0,0,0,,,,0,0.0,0,1.7,0,0,0,0,56360
2,1,0,0.23,0.0,False,0,Pich31-12-24,PBE45781,-0.096,0.345,15,0,0,-0.068,0.359,-0.063,-0.076,-0.066,-30,-40,-50,-17.878,-0.201,0.344,0.01,1107.4,0,zero,0,0,0,,,0,15.7935,1,16,-174,0.2,7,0,0,0,,,,0,0.0,0,1.13,0,0,0,0,56332
2,2,0,0.14,0.001,False,0,Pich31-12-24,PBE45781,0.007,0.35,15,0,0,0.021,0.35,0.031,0.018,0.019,-30,-40,-50,-65.987,-0.124,0.346,0.0,-866.11,0,zero,0,0,0,,,0,15.7935,1,16,-174,0.2,7,0,0,0,,,,0,0.0,0,1.34,0,0,0,0,52345
2,3,0,0.04,0.001,False,0,Pich31-12-24,PBE45781,-0.549,0.361,15,0,0,-0.56,0.363,-0.528,-0.538,-0.544,-30,-40,-50,617.143,-0.658,0.373,-0.0,1050.78,0,zero,0,0,0,,,0,15.7935,1,16,-174,0.22,7,0,0,0,,,,0,0.0,0,1.44,0,0,0,0,56217
2,4,0,-0.03,0.001,False,0,Pich31-12-24,PBE45781,-0.277,0.347,15,0,0,-0.249,0.338,-0.295,-0.304,-0.316,-30,-40,-50,248.514,-0.378,0.351,0.0,975.99,0,zero,0,0,0,,,0,15.7935,1,16,-174,0.21,7,0,0,0,,,,0,0.0,0,2.04,0,0,0,0,56236
3,1,0,0.68,0.0,False,0,Pich31-12-24,PBE45781,-0.159,0.349,15,0,0,-0.187,0.346,-0.182,-0.221,-0.192,-30,-40,-50,-15.833,-0.154,0.351,0.04,-3045.93,0,zero,0,0,0,,,0,15.7935,1,16,-174,0.21,7,0,0,0,,,,0,0.0,0,1.53,0,0,0,0,56304
3,2,0,,,False,0,Pich31-12-24,PBE45781,,,15,0,0,,,,,,-30,-40,-50,,,,,,0,saturated,0,0,0,,,0,15.7935,1,16,-174,,7,0,0,0,,,,0,0.0,0,,0,0,0,0,0
