[Header],,,,,,
INVESTIGATOR NAME,BeadStudio User,,,,,
PROJECT NAME,20210616_QEIC21-03-7_pt18_1-12,,,,,
EXPERIMENT NAME,20210616_QEIC21-03-7_pt18_1-12,,,,,
DATE,20210616,,,,,
[Manifests],,,,,,
A,MethylationEPIC_v-1-0_B4,,,,,
[Data],,,,,,
Sample_Name,Sample_Plate,Sample_Well,Sample_group,Pool_ID,Sentrix_ID,Sentrix_Position
207358,18,A01,Group1,,205289440173,R01C01
202190,18,B01,Group1,,205289440173,R02C01
247358,18,C01,Group1,,205289440173,R03C01
242190,18,D01,Group1,,205289440173,R04C01
209392,18,E01,Group1,,205289440173,R05C01
200936,18,F01,Group1,,205289440173,R06C01
249392,18,G01,Group1,,205289440173,R07C01
240936,18,H01,Group1,,205289440173,R08C01
203654,18,A02,Group1,,205291530042,R01C01
203925,18,B02,Group1,,205291530042,R02C01
243654,18,C02,Group1,,205291530042,R03C01
243925,18,D02,Group1,,205291530042,R04C01
217185,18,E02,Group1,,205291530042,R05C01
201826,18,F02,Group1,,205291530042,R06C01
257185,18,G02,Group1,,205291530042,R07C01
241826,18,H02,Group1,,205291530042,R08C01
202741,18,A03,Group1,,205291530110,R01C01
214917,18,B03,Group1,,205291530110,R02C01
242741,18,C03,Group1,,205291530110,R03C01
254917,18,D03,Group1,,205291530110,R04C01
206911,18,E03,Group1,,205291530110,R05C01
200401,18,F03,Group1,,205291530110,R06C01
246911,18,G03,Group1,,205291530110,R07C01
240401,18,H03,Group1,,205291530110,R08C01
207417,18,A04,Group1,,205291530111,R01C01
203839,18,B04,Group1,,205291530111,R02C01
247417,18,C04,Group1,,205291530111,R03C01
243839,18,D04,Group1,,205291530111,R04C01
206519,18,E04,Group1,,205291530111,R05C01
211359,18,F04,Group1,,205291530111,R06C01
246519,18,G04,Group1,,205291530111,R07C01
251359,18,H04,Group1,,205291530111,R08C01
pool_women,18,A05,Group1,,205291530104,R01C01
202468,18,B05,Group1,,205291530104,R02C01
pool_men,18,C05,Group1,,205291530104,R03C01
242468,18,D05,Group1,,205291530104,R04C01
202246,18,E05,Group1,,205291530104,R05C01
207076,18,F05,Group1,,205291530104,R06C01
242246,18,G05,Group1,,205291530104,R07C01
247076,18,H05,Group1,,205291530104,R08C01
210367,18,A06,Group1,,205291530021,R01C01
204735,18,B06,Group1,,205291530021,R02C01
250367,18,C06,Group1,,205291530021,R03C01
244735,18,D06,Group1,,205291530021,R04C01
206481,18,E06,Group1,,205291530021,R05C01
207347,18,F06,Group1,,205291530021,R06C01
246481,18,G06,Group1,,205291530021,R07C01
247347,18,H06,Group1,,205291530021,R08C01
213933,18,A07,Group1,,205289440094,R01C01
218296,18,B07,Group1,,205289440094,R02C01
253933,18,C07,Group1,,205289440094,R03C01
258296,18,D07,Group1,,205289440094,R04C01
204396,18,E07,Group1,,205289440094,R05C01
210437,18,F07,Group1,,205289440094,R06C01
244396,18,G07,Group1,,205289440094,R07C01
250437,18,H07,Group1,,205289440094,R08C01
211588,18,A08,Group1,,205289440030,R01C01
211547,18,B08,Group1,,205289440030,R02C01
251588,18,C08,Group1,,205289440030,R03C01
251547,18,D08,Group1,,205289440030,R04C01
207357,18,E08,Group1,,205289440030,R05C01
201981,18,F08,Group1,,205289440030,R06C01
247357,18,G08,Group1,,205289440030,R07C01
241981,18,H08,Group1,,205289440030,R08C01
203602,18,A09,Group1,,205289440105,R01C01
201084,18,B09,Group1,,205289440105,R02C01
243602,18,C09,Group1,,205289440105,R03C01
241084,18,D09,Group1,,205289440105,R04C01
210242,18,E09,Group1,,205289440105,R05C01
210591,18,F09,Group1,,205289440105,R06C01
250242,18,G09,Group1,,205289440105,R07C01
250591,18,H09,Group1,,205289440105,R08C01
201183,18,A10,Group1,,205291530034,R01C01
200925,18,B10,Group1,,205291530034,R02C01
241183,18,C10,Group1,,205291530034,R03C01
240925,18,D10,Group1,,205291530034,R04C01
202829,18,E10,Group1,,205291530034,R05C01
200965,18,F10,Group1,,205291530034,R06C01
242829,18,G10,Group1,,205291530034,R07C01
240965,18,H10,Group1,,205291530034,R08C01
210275,18,A11,Group1,,205291530013,R01C01
200884,18,B11,Group1,,205291530013,R02C01
250275,18,C11,Group1,,205291530013,R03C01
240884,18,D11,Group1,,205291530013,R04C01
213483,18,E11,Group1,,205291530013,R05C01
207574,18,F11,Group1,,205291530013,R06C01
253483,18,G11,Group1,,205291530013,R07C01
247574,18,H11,Group1,,205291530013,R08C01
201589,18,A12,Group1,,205291530001,R01C01
202825,18,B12,Group1,,205291530001,R02C01
241589,18,C12,Group1,,205291530001,R03C01
242825,18,D12,Group1,,205291530001,R04C01
214921,18,E12,Group1,,205291530001,R05C01
200109,18,F12,Group1,,205291530001,R06C01
254921,18,G12,Group1,,205291530001,R07C01
240109,18,H12,Group1,,205291530001,R08C01
