[Header],,,,,,
INVESTIGATOR NAME,BeadStudio User,,,,,
PROJECT NAME,20211110_QEIC21-03-11_MCU07_1-12,,,,,
EXPERIMENT NAME,20211110_QEIC21-03-11_MCU07_1-12,,,,,
DATE,20211110,,,,,
[Manifests],,,,,,
A,MethylationEPIC_v-1-0_B4,,,,,
[Data],,,,,,
Sample_Name,Sample_Plate,Sample_Well,Sample_group,Pool_ID,Sentrix_ID,Sentrix_Position
215044,MCU07,A01,Group1,,205689140099,R01C01
207799,MCU07,B01,Group1,,205689140099,R02C01
215382,MCU07,C01,Group1,,205689140099,R03C01
403227,MCU07,D01,Group1,,205689140099,R04C01
212660,MCU07,E01,Group1,,205689140099,R05C01
213356,MCU07,F01,Group1,,205689140099,R06C01
210673,MCU07,G01,Group1,,205689140099,R07C01
209301,MCU07,H01,Group1,,205689140099,R08C01
203478,MCU07,A02,Group1,,205689140165,R01C01
203222,MCU07,B02,Group1,,205689140165,R02C01
401008,MCU07,C02,Group1,,205689140165,R03C01
215593,MCU07,D02,Group1,,205689140165,R04C01
216027,MCU07,E02,Group1,,205689140165,R05C01
218638,MCU07,F02,Group1,,205689140165,R06C01
402492,MCU07,G02,Group1,,205689140165,R07C01
404171,MCU07,H02,Group1,,205689140165,R08C01
206869,MCU07,A03,Group1,,205689140097,R01C01
215770,MCU07,B03,Group1,,205689140097,R02C01
213783,MCU07,C03,Group1,,205689140097,R03C01
202205,MCU07,D03,Group1,,205689140097,R04C01
209822,MCU07,E03,Group1,,205689140097,R05C01
211906,MCU07,F03,Group1,,205689140097,R06C01
401099,MCU07,G03,Group1,,205689140097,R07C01
402360,MCU07,H03,Group1,,205689140097,R08C01
218276,MCU07,A04,Group1,,205689140041,R01C01
214996,MCU07,B04,Group1,,205689140041,R02C01
402288,MCU07,C04,Group1,,205689140041,R03C01
403734,MCU07,D04,Group1,,205689140041,R04C01
400491,MCU07,E04,Group1,,205689140041,R05C01
214872,MCU07,F04,Group1,,205689140041,R06C01
205065,MCU07,G04,Group1,,205689140041,R07C01
212868,MCU07,H04,Group1,,205689140041,R08C01
207419,MCU07,A05,Group1,,205689140082,R01C01
216157,MCU07,B05,Group1,,205689140082,R02C01
215548,MCU07,C05,Group1,,205689140082,R03C01
404483,MCU07,D05,Group1,,205689140082,R04C01
219213,MCU07,E05,Group1,,205689140082,R05C01
400299,MCU07,F05,Group1,,205689140082,R06C01
213463,MCU07,G05,Group1,,205689140082,R07C01
205399,MCU07,H05,Group1,,205689140082,R08C01
403121,MCU07,A06,Group1,,205689140155,R01C01
209663,MCU07,B06,Group1,,205689140155,R02C01
212552,MCU07,C06,Group1,,205689140155,R03C01
403164,MCU07,D06,Group1,,205689140155,R04C01
212547,MCU07,E06,Group1,,205689140155,R05C01
211254,MCU07,F06,Group1,,205689140155,R06C01
401404,MCU07,G06,Group1,,205689140155,R07C01
402420,MCU07,H06,Group1,,205689140155,R08C01
218998,MCU07,A07,Group1,,205689140079,R01C01
217894,MCU07,B07,Group1,,205689140079,R02C01
216156,MCU07,C07,Group1,,205689140079,R03C01
210241,MCU07,D07,Group1,,205689140079,R04C01
210774,MCU07,E07,Group1,,205689140079,R05C01
404401,MCU07,F07,Group1,,205689140079,R06C01
403160,MCU07,G07,Group1,,205689140079,R07C01
206282,MCU07,H07,Group1,,205689140079,R08C01
403403,MCU07,A08,Group1,,205689140006,R01C01
218608,MCU07,B08,Group1,,205689140006,R02C01
211251,MCU07,C08,Group1,,205689140006,R03C01
208084,MCU07,D08,Group1,,205689140006,R04C01
203487,MCU07,E08,Group1,,205689140006,R05C01
216262,MCU07,F08,Group1,,205689140006,R06C01
213331,MCU07,G08,Group1,,205689140006,R07C01
217026,MCU07,H08,Group1,,205689140006,R08C01
219072,MCU07,A09,Group1,,205689130150,R01C01
210688,MCU07,B09,Group1,,205689130150,R02C01
403694,MCU07,C09,Group1,,205689130150,R03C01
403762,MCU07,D09,Group1,,205689130150,R04C01
219147,MCU07,E09,Group1,,205689130150,R05C01
210910,MCU07,F09,Group1,,205689130150,R06C01
403760,MCU07,G09,Group1,,205689130150,R07C01
202152,MCU07,H09,Group1,,205689130150,R08C01
209904,MCU07,A10,Group1,,205689130082,R01C01
401097,MCU07,B10,Group1,,205689130082,R02C01
213918,MCU07,C10,Group1,,205689130082,R03C01
211680,MCU07,D10,Group1,,205689130082,R04C01
216962-216762,MCU07,E10,Group1,,205689130082,R05C01
214365,MCU07,F10,Group1,,205689130082,R06C01
401832,MCU07,G10,Group1,,205689130082,R07C01
217749,MCU07,H10,Group1,,205689130082,R08C01
213764,MCU07,A11,Group1,,205689130058,R01C01
202927,MCU07,B11,Group1,,205689130058,R02C01
404080,MCU07,C11,Group1,,205689130058,R03C01
201533,MCU07,D11,Group1,,205689130058,R04C01
217417,MCU07,E11,Group1,,205689130058,R05C01
213066,MCU07,F11,Group1,,205689130058,R06C01
404220,MCU07,G11,Group1,,205689130058,R07C01
212561,MCU07,H11,Group1,,205689130058,R08C01
pool_womem,MCU07,A12,Group1,,205689130168,R01C01
404034,MCU07,B12,Group1,,205689130168,R02C01
pool_men,MCU07,C12,Group1,,205689130168,R03C01
404096,MCU07,D12,Group1,,205689130168,R04C01
216422,MCU07,E12,Group1,,205689130168,R05C01
206869,MCU07,F12,Group1,,205689130168,R06C01
215519,MCU07,G12,Group1,,205689130168,R07C01
213783,MCU07,H12,Group1,,205689130168,R08C01
